scenario_name	n_total	group	power	scenario_set
ARREST_raw	2400	C	0.10442369463970791	main
ARREST_raw	2400	D	0.10658439931567432	main
ARREST_raw	2400	E	0.13160374249798912	main
ARREST_raw	2500	A	0.010000000000000009	main
ARREST_raw	2500	B	0.9999999999449869	main
ARREST_raw	2500	C	0.1094266238989966	main
ARREST_raw	2500	D	0.11170802766976928	main
ARREST_raw	2500	E	0.13811664496127862	main
ARREST_raw	2600	A	0.010000000000000009	main
ARREST_raw	2600	B	0.9999999999833614	main
ARREST_raw	2600	C	0.11449624977001605	main
ARREST_raw	2600	D	0.11689976416325976	main
ARREST_raw	2600	E	0.14471118331923727	main
ARREST_raw	2700	A	0.010000000000000009	main
ARREST_raw	2700	B	0.999999999995006	main
ARREST_raw	2700	C	0.11963039513907436	main
ARREST_raw	2700	D	0.12215731513628791	main
ARREST_raw	2700	E	0.15138350989166038	main
ARREST_raw	2800	A	0.010000000000000009	main
ARREST_raw	2800	B	0.999999999998512	main
ARREST_raw	2800	C	0.12482689061780405	main
ARREST_raw	2800	D	0.12747839590065002	main
ARREST_raw	2800	E	0.15812980925173448	main
ARREST_raw	2900	A	0.010000000000000009	main
ARREST_raw	2900	B	0.9999999999995597	main
ARREST_raw	2900	C	0.13008357586244657	main
ARREST_raw	2900	D	0.13286073215337413	main
ARREST_raw	2900	E	0.16494630096324558	main
ARREST_raw	3000	A	0.010000000000000009	main
ARREST_raw	3000	B	0.9999999999998705	main
ARREST_raw	3000	C	0.13539830083755144	main
ARREST_raw	3000	D	0.13830206132904965	main
ARREST_raw	3000	E	0.1718292421572729	main
ARREST_raw	3100	A	0.010000000000000009	main
ARREST_raw	3100	B	0.9999999999999621	main
ARREST_raw	3100	C	0.1407689270252691	main
ARREST_raw	3100	D	0.14380013389224644	main
ARREST_raw	3100	E	0.17877492995302302	main
ARREST_raw	3200	A	0.010000000000000009	main
ARREST_raw	3200	B	0.999999999999989	main
ARREST_raw	3200	C	0.1461933285814193	main
ARREST_raw	3200	D	0.14935271457135946	main
ARREST_raw	3200	E	0.18577970372741048	main
ARREST_raw	3300	A	0.010000000000000009	main
ARREST_raw	3300	B	0.9999999999999968	main
ARREST_raw	3300	C	0.15166939343951025	main
ARREST_raw	3300	D	0.15495758353521005	main
ARREST_raw	3300	E	0.19283994723795916	main
ARREST_raw	3400	A	0.010000000000000009	main
ARREST_raw	3400	B	0.9999999999999991	main
ARREST_raw	3400	C	0.15719502436388144	main
ARREST_raw	3400	D	0.16061253751373117	main
ARREST_raw	3400	E	0.19995209060354124	main
ARREST_raw	3500	A	0.010000000000000009	main
ARREST_raw	3500	B	0.9999999999999998	main
ARREST_raw	3500	C	0.162768139953138	main
ARREST_raw	3500	D	0.16631539086405234	main
ARREST_raw	3500	E	0.2071126121474295	main
ARREST_raw	3600	A	0.010000000000000009	main
ARREST_raw	3600	B	0.9999999999999999	main
ARREST_raw	3600	C	0.16838667559503673	main
ARREST_raw	3600	D	0.17206397658330097	main
ARREST_raw	3600	E	0.21431804010707922	main
ARREST_raw	3700	A	0.010000000000000009	main
ARREST_raw	3700	B	1	main
ARREST_raw	3700	C	0.17404858437397808	main
ARREST_raw	3700	D	0.1778561472694199	main
ARREST_raw	3700	E	0.2215649542149989	main
ARREST_raw	3800	A	0.010000000000000009	main
ARREST_raw	3800	B	1	main
ARREST_raw	3800	C	0.17975183793225502	main
ARREST_raw	3800	D	0.18368977603129644	main
ARREST_raw	3800	E	0.22884998715501104	main
ARREST_raw	3900	A	0.010000000000000009	main
ARREST_raw	3900	B	1	main
ARREST_raw	3900	C	0.18549442728618892	main
ARREST_raw	3900	D	0.18956275734948702	main
ARREST_raw	3900	E	0.2361698258981425	main
ARREST_raw	4000	A	0.010000000000000009	main
ARREST_raw	4000	B	1	main
ARREST_raw	4000	C	0.19127436359829086	main
ARREST_raw	4000	D	0.19547300788881017	main
ARREST_raw	4000	E	0.24352121292231332	main
ARREST_raw	4100	A	0.010000000000000009	main
ARREST_raw	4100	B	1	main
ARREST_raw	4100	C	0.1970896789065607	main
ARREST_raw	4100	D	0.20141846726406776	main
ARREST_raw	4100	E	0.2509009473199323	main
ARREST_raw	4200	A	0.010000000000000009	main
ARREST_raw	4200	B	1	main
ARREST_raw	4200	C	0.20293842681203833	main
ARREST_raw	4200	D	0.20739709876014623	main
ARREST_raw	4200	E	0.2583058857974341	main
ARREST_raw	4300	A	0.010000000000000009	main
ARREST_raw	4300	B	1	main
ARREST_raw	4300	C	0.2088186831257014	main
ARREST_raw	4300	D	0.2134068900077285	main
ARREST_raw	4300	E	0.26573294357072386	main
ARREST_raw	4400	A	0.010000000000000009	main
ARREST_raw	4400	B	1	main
ARREST_raw	4400	C	0.21472854647579775	main
ARREST_raw	4400	D	0.219445853615843	main
ARREST_raw	4400	E	0.2731790951604208	main
ARREST_raw	4500	A	0.010000000000000009	main
ARREST_raw	4500	B	1	main
