scenario_name	target_group	sensitivity	specificity	sim_id	true_beta	empirical_beta	p_value	n_enrolled	bias	mse	significant	wrong_direction	significant_wrong
ARREST_raw	C	1	1	1	-0.23572233352106983	-0.2146830260670852	0.009746355656396255	3899.7125	0.021039307453984635	4.426524581432934e-4	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	2	-0.23572233352106983	-0.18613301987509162	0.0245552790064012	3899.7125	0.04958931364597821	0.0024591000278792008	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	3	-0.23572233352106983	-0.33001816909697934	9.176336011162967e-5	3899.7125	-0.09429583557590951	0.00889170460695896	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	4	-0.23572233352106983	-0.22499715675315682	0.007105767257732265	3899.7125	0.010725176767913014	1.1502941670298104e-4	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	5	-0.23572233352106983	-0.22107224665774391	0.007699135422680303	3899.7125	0.014650086863325917	2.146250451029946e-4	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	6	-0.23572233352106983	-0.3032808845896448	2.454285910384879e-4	3899.7125	-0.06755855106857497	0.004564157822485253	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	7	-0.23572233352106983	-0.3026375155426554	3.6427545054884547e-4	3899.7125	-0.06691518202158556	0.004477641584981927	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	8	-0.23572233352106983	-0.3355020995523932	6.345022315212834e-5	3899.7125	-0.09977976603132335	0.00995600170926563	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	9	-0.23572233352106983	-0.15693540021340005	0.06469910935314094	3899.7125	0.07878693330766978	0.006207380860027206	FALSE	FALSE	FALSE
ARREST_raw	C	1	1	10	-0.23572233352106983	-0.21750262983830965	0.009625129069493088	3899.7125	0.018219703682760185	3.3195760228758506e-4	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	11	-0.23572233352106983	-0.14959252520248711	0.08753436042837048	3899.7125	0.08612980831858272	0.007418343880995801	FALSE	FALSE	FALSE
ARREST_raw	C	1	1	12	-0.23572233352106983	-0.2731981963666338	0.0012101465320185634	3899.7125	-0.03747586284556395	0.0014044402960195206	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	13	-0.23572233352106983	-0.4321355840880967	2.73582191345767e-7	3899.7125	-0.19641325056702688	0.038578164998305686	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	14	-0.23572233352106983	-0.22153318771004663	0.007631903126096851	3899.7125	0.014189145811023207	2.0133185884647743e-4	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	15	-0.23572233352106983	-0.30553278358565267	3.121194273688621e-4	3899.7125	-0.06981045006458284	0.0048734989382196135	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	16	-0.23572233352106983	-0.30856427838344314	0.00031978933903997753	3899.7125	-0.0728419448623733	0.005305948931333033	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	17	-0.23572233352106983	-0.24741470103161065	0.003081047002879256	3899.7125	-0.011692367510540813	1.3671145800155037e-4	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	18	-0.23572233352106983	-0.3926991180230496	3.445913712485371e-6	3899.7125	-0.15697678450197974	0.024641710872580987	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	19	-0.23572233352106983	-0.2450320620198279	0.003082507442103144	3899.7125	-0.00930972849875808	8.667104472058837e-5	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	20	-0.23572233352106983	-0.20957920681573705	0.013113006986677278	3899.7125	0.02614312670533278	6.834630739310841e-4	TRUE	FALSE	FALSE
ARREST_raw	C	1	1	21	-0.23572233352106983	-0.23048063672234012	0.0068126275915417756	3899.7125	0.005241696798729711	2.7475385329813305e-5	TRUE	FALSE	FALSE
