scenario_name	test_type	sensitivity	specificity	target_group	nns_needed	nnr_corresponding	true_beta	mean_beta_hat	bias	mse	rmse	sd_beta_hat	wrong_direction	significant_wrong	scenario_set
ARREST_raw	Perfect (100%)	1	1	B	190	27.0775	2.9338568698359038	2.7921845246178605	-0.14167234521804306	0.9939817596831033	0.9969863387645306	0.9881982607386408	0	0	main
ARREST_raw	Perfect (100%)	1	1	C	10718	3899.87	-0.23572233352106983	-0.23092040527127422	0.004801928249795611	0.006538047685645626	0.08085819491953568	0.08081656676938472	0.0025	0	main
ARREST_raw	Perfect (100%)	1	1	D	10187	1626.61	0.3364722366212129	0.3458896378733887	0.009417401252175807	0.015165641326588335	0.12314885840554242	0.12294202183173188	0.0025	0	main
ARREST_raw	Perfect (100%)	1	1	E	7109	1306.1425	-1.2039728043259361	-1.1877782902409209	0.01619451408501529	0.2307779463060071	0.4803935327478994	0.48072176730772864	0.005	0	main
ARREST_raw	Near-Perfect	0.99	0.99	B	190	28.53	2.9338568698359038	2.619629349719583	-0.314227520116321	1.0830136272798028	1.0406794065800489	0.9933938043521298	0	0	main
ARREST_raw	Near-Perfect	0.99	0.99	C	11875	4353.3975	-0.23572233352106983	-0.21968651607456793	0.016035817446501895	0.007206031719443442	0.08488834854939424	0.08346436382275221	0.005	0	main
ARREST_raw	Near-Perfect	0.99	0.99	D	10156	1690.755	0.3364722366212129	0.3525437147112645	0.016071478090051616	0.013698738274234854	0.11704160915774721	0.11607812539071002	0.0025	0	main
ARREST_raw	Near-Perfect	0.99	0.99	E	17687	3356.9425	-1.2039728043259361	-0.6012300020099985	0.6027428023159376	0.4139003594344311	0.643350883604298	0.22522942620099337	0.0025	0	main
ARREST_raw	High Sens/High Spec	0.95	0.95	B	219	38.8225	2.9338568698359038	2.2434185608939754	-0.6904383089419286	1.2133049516381662	1.1015012263443769	0.8593288126230183	0.005	0	main
ARREST_raw	High Sens/High Spec	0.95	0.95	C	27875	10521.775	-0.23572233352106983	-0.1419765585088341	0.09374577501223576	0.011580378369482752	0.1076121664565989	0.0529065761634731	0.005	0	main
ARREST_raw	High Sens/High Spec	0.95	0.95	D	7421	1439.1575	0.3364722366212129	0.3701825449544519	0.033710308333239035	0.0191365314486464	0.1383348526172866	0.1343326457343834	0.01	0	main
ARREST_raw	High Sens/High Spec	0.95	0.95	E	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	main
ARREST_raw	High Sens/Low Spec	0.95	0.7	B	424	165.62	2.9338568698359038	1.1191734205589845	-1.8146834492769193	3.4392516226114935	1.8545219391022296	0.3828079889748562	0	0	main
ARREST_raw	High Sens/Low Spec	0.95	0.7	C	17062	9152.9725	-0.23572233352106983	0.15491491105314628	0.3906372445742161	0.1554064350591221	0.39421622881246543	0.05306616865976587	1	0.8075	main
ARREST_raw	High Sens/Low Spec	0.95	0.7	D	2875	1162.1225	0.3364722366212129	0.42166948929088466	0.08519725266967178	0.03298231442681673	0.18161033678405183	0.160587088824412	0.005	0	main
ARREST_raw	High Sens/Low Spec	0.95	0.7	E	4796	2014.5875	-1.2039728043259361	0.3599528735333785	1.5639256778593147	2.461904033850297	1.5690455805521701	0.12680973841536167	0.9975	0.7875	main
ARREST_raw	Low Sens/High Spec	0.7	0.95	B	329	46.5525	2.9338568698359038	1.9934247764125481	-0.9404320934233555	1.5637930963983604	1.250517131589312	0.825277700088512	0.0025	0	main
ARREST_raw	Low Sens/High Spec	0.7	0.95	C	66250	18993.7375	-0.23572233352106983	-0.11421585088884319	0.12150648263222665	0.016258089995991917	0.12750721546638807	0.03870413025224546	0	0	main
ARREST_raw	Low Sens/High Spec	0.7	0.95	D	8000	1228.9775	0.3364722366212129	0.37657674598194696	0.040104509360734064	0.021808593680024253	0.14767732960757468	0.14230547822128464	0.005	0	main
ARREST_raw	Low Sens/High Spec	0.7	0.95	E	326000	55154.1525	-1.2039728043259361	0.09402606666809277	1.2979988709940289	1.6860427502328459	1.2984770888363206	0.03528162572581997	0.99	0.7825	main
ARREST_raw	Balanced/Moderate	0.8	0.8	B	437	123.78	2.9338568698359038	1.2718993957034792	-1.6619574741324246	2.985137463595493	1.7277550357604208	0.47285706326178106	0.0025	0	main
ARREST_raw	Balanced/Moderate	0.8	0.8	C	54125	22653.075	-0.23572233352106983	0.09896086086863527	0.3346831943897051	0.11323467988467677	0.33650361050763894	0.0349985932804255	0.9975	0.8275	main
ARREST_raw	Balanced/Moderate	0.8	0.8	D	4015	1191.0375	0.3364722366212129	0.4232551157712352	0.08678287915002228	0.030256142364387045	0.17394292846904424	0.15093650593172236	0.0025	0	main
ARREST_raw	Balanced/Moderate	0.8	0.8	E	8281	2567.4475	-1.2039728043259361	0.33962354991265764	1.5435963542385938	2.398302680620825	1.5486454341200329	0.12510837728671562	0.9975	0.81	main
