scenario_name	accuracy	group	power	bias	mse	wrong_dir	scenario_set
ARREST_raw	0.7	A	0.056	0.12182862927442487	0.03026648902730452	100	main
ARREST_raw	0.7	B	1	-0.7499430035020818	0.5824939308111169	0	main
ARREST_raw	0.7	C	0.016	0.20943305717041705	0.05116262308657162	39.6	main
ARREST_raw	0.7	D	0.662	0.036153633515066425	0.01756335874756336	0.1	main
ARREST_raw	0.7	E	0.022	1.29585544142084	1.7165374714574497	67	main
ARREST_raw	0.75	A	0.037	0.10033405743008607	0.025286626582989497	100	main
ARREST_raw	0.75	B	1	-0.630235622232766	0.41790004472075937	0	main
ARREST_raw	0.75	C	0.032	0.1738633305868036	0.03756570268750793	23.400000000000002	main
ARREST_raw	0.75	D	0.66	0.03160494859585109	0.017026625629857326	0.2	main
ARREST_raw	0.75	E	0.01	1.2324510376227806	1.5601233743506953	55.50000000000001	main
ARREST_raw	0.7999999999999999	A	0.026	0.07909213427789666	0.02164996085110212	100	main
ARREST_raw	0.7999999999999999	B	1	-0.5068416224096263	0.278649619598365	0	main
ARREST_raw	0.7999999999999999	C	0.078	0.13937936475281265	0.02676521436083375	13.100000000000001	main
ARREST_raw	0.7999999999999999	D	0.61	0.024502951649741728	0.016400112250428464	0.2	main
ARREST_raw	0.7999999999999999	E	0.015	1.1476256785601644	1.3641416466570357	41	main
ARREST_raw	0.85	A	0.02	0.05952469131961035	0.01895430661077569	100	main
ARREST_raw	0.85	B	1	-0.3811298949832065	0.16769550252677742	0	main
ARREST_raw	0.85	C	0.155	0.10258304486624924	0.018177130509739334	5.5	main
ARREST_raw	0.85	D	0.613	0.01976078686857207	0.01580468422520478	0.2	main
ARREST_raw	0.85	E	0.041	1.0308741525224778	1.1182269624353036	22.900000000000002	main
ARREST_raw	0.8999999999999999	A	0.016	0.03702951107515002	0.01695328400780905	100	main
ARREST_raw	0.8999999999999999	B	1	-0.25702024906310933	0.08909530049629162	0	main
ARREST_raw	0.8999999999999999	C	0.264	0.06750116819232516	0.012399904810065159	2.1	main
ARREST_raw	0.8999999999999999	D	0.594	0.01437527779427731	0.015509579189186249	0.2	main
ARREST_raw	0.8999999999999999	E	0.103	0.8684250955077837	0.8237678557249073	9.5	main
ARREST_raw	0.95	A	0.015	0.017894681954978696	0.01586869519471605	100	main
ARREST_raw	0.95	B	1	-0.12818249266312637	0.039794798705186464	0	main
ARREST_raw	0.95	C	0.405	0.03190794445345983	0.0085713015392729491	0.7000000000000001	main
ARREST_raw	0.95	D	0.587	0.008725993885750984	0.015373097426437044	0.2	main
ARREST_raw	0.95	E	0.306	0.5942539199575908	0.4468323341219655	1.5	main
ARREST_raw	1	A	0.01	-0.002587540774465416	0.014981971390144629	100	main
ARREST_raw	1	B	1	0.003769401363752635	0.02472791505909374	0	main
ARREST_raw	1	C	0.56	-0.00400919438327788	0.0077083361836412555	0.4	main
ARREST_raw	1	D	0.579	0.00340246968039245	0.015568793616237038	0.4	main
ARREST_raw	1	E	0.752	0.012773307046024274	0.16504468095221062	0.1	main
