scenario_name	target_group	sensitivity	specificity	sim_id	true_beta	empirical_beta	p_value	n_enrolled	bias	mse	significant	wrong_direction	significant_wrong
ARREST_raw	E	0.8	0.8	1	-1.2039728043259361	0.07662766907183377	0.5281469385449091	2567.6975	1.2806004733977698	1.639937572466592	FALSE	TRUE	FALSE
ARREST_raw	E	0.8	0.8	2	-1.2039728043259361	0.38808010425998113	0.0014897847058021885	2567.6975	1.5920529085859172	2.534632463736879	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	3	-1.2039728043259361	0.18449038316350658	0.13236953054150602	2567.6975	1.3884631874894426	1.9278300230133432	FALSE	TRUE	FALSE
ARREST_raw	E	0.8	0.8	4	-1.2039728043259361	0.30785530215696366	0.010872198987823767	2567.6975	1.5118281064828998	2.28562422355167	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	5	-1.2039728043259361	0.23399453305684004	0.0515648454428268	2567.6975	1.4379673373827762	2.0677500633797106	FALSE	TRUE	FALSE
ARREST_raw	E	0.8	0.8	6	-1.2039728043259361	0.4367235499707051	3.886420996915829e-4	2567.6975	1.6406963542966413	2.6918845270022898	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	7	-1.2039728043259361	0.21065485633721376	0.09553076092912893	2567.6975	1.4146276606631498	2.001171418313296	FALSE	TRUE	FALSE
ARREST_raw	E	0.8	0.8	8	-1.2039728043259361	0.5544041153778587	2.003463677180406e-6	2567.6975	1.7583769197037948	3.0918893917470056	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	9	-1.2039728043259361	0.3855449908671773	0.0014284154551258421	2567.6975	1.5895177951931134	2.5265668212355763	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	10	-1.2039728043259361	0.3189920979563296	0.006091169885247272	2567.6975	1.5229649022822658	2.3194220935836314	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	11	-1.2039728043259361	0.5045351362282877	2.077567172320549e-5	2567.6975	1.7085079405542238	2.918999382936835	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	12	-1.2039728043259361	0.2663072660804073	0.02302093096991642	2567.6975	1.4702800704063435	2.161723485434082	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	13	-1.2039728043259361	0.5323340109670962	9.960777316742053e-6	2567.6975	1.7363068152930323	3.0147613568330325	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	14	-1.2039728043259361	0.44727642795284406	1.9954442391501015e-4	2567.6975	1.6512492322787802	2.726624027101261	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	15	-1.2039728043259361	0.371173758994967	0.0015785530618582788	2567.6975	1.5751465633209032	2.481086695941652	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	16	-1.2039728043259361	0.34854846267019735	0.0056402493435233625	2567.6975	1.5525212669961335	2.4103222844752796	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	17	-1.2039728043259361	0.7428965544550344	1.1457094162281578e-9	2567.6975	1.9468693587809707	3.790300300160228	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	18	-1.2039728043259361	0.2135786977114657	0.0687695722631626	2567.6975	1.4175515020374019	2.0094522609284944	FALSE	TRUE	FALSE
ARREST_raw	E	0.8	0.8	19	-1.2039728043259361	0.35689497020167177	0.0027871279178879327	2567.6975	1.5608677745276078	2.436308209558767	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	20	-1.2039728043259361	0.44561949991480243	2.2999309965399117e-4	2567.6975	1.6495923042407385	2.721154770210269	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	21	-1.2039728043259361	0.5291645343811272	7.950623798325118e-6	2567.6975	1.7331373387070634	3.0037650348206024	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	22	-1.2039728043259361	0.3840407052734769	0.0011169711261677095	2567.6975	1.588013509599413	2.521786906670245	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	23	-1.2039728043259361	0.5274453054319403	1.1540262783937827e-5	2567.6975	1.7314181097578765	2.997808670797538	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	24	-1.2039728043259361	0.34392584691723344	0.0035254356741766246	2567.6975	1.5478986512431696	2.395990234520424	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	25	-1.2039728043259361	0.27781539958926776	0.023750900461287472	2567.6975	1.481788203915204	2.195696281262246	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	26	-1.2039728043259361	0.32657738785108337	0.00494864020975283	2567.6975	1.5305501921770195	2.342583890773111	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	27	-1.2039728043259361	0.38275715041101643	0.0015782877226415692	2567.6975	1.5867299547369527	2.5177119492595317	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	28	-1.2039728043259361	0.3647846300000268	0.0025275642272944987	2567.6975	1.568757434325963	2.460999887752978	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	29	-1.2039728043259361	0.3881673015829151	8.885236247379025e-4	2567.6975	1.5921401059088511	2.534910116843448	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	30	-1.2039728043259361	0.48254998874550203	8.598061590114892e-5	2567.6975	1.6865227930714382	2.844359131549485	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	31	-1.2039728043259361	0.20375110912549943	0.08547783443232926	2567.6975	1.4077239134514357	1.9816866165030251	FALSE	TRUE	FALSE
ARREST_raw	E	0.8	0.8	32	-1.2039728043259361	0.43411940411672123	6.27498981858432e-4	2567.6975	1.6380922084426572	2.683346083360542	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	33	-1.2039728043259361	0.2815065994730456	0.016647888993309934	2567.6975	1.4854794037989818	2.2066490591109784	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	34	-1.2039728043259361	0.4788303900654359	4.400528876136178e-5	2567.6975	1.682803194391372	2.8318265910538054	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	35	-1.2039728043259361	0.31827251644602456	0.0077645077815425845	2567.6975	1.5222453207719606	2.3172308166121294	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	36	-1.2039728043259361	0.3010755481439852	0.013740962028150783	2567.6975	1.5050483524699212	2.2651705432724243	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	37	-1.2039728043259361	0.0017263707351910683	0.9888591732396983	2567.6975	1.2056991750611272	1.4537105007430826	FALSE	TRUE	FALSE
ARREST_raw	E	0.8	0.8	38	-1.2039728043259361	0.185946748805326	0.12489947370314924	2567.6975	1.389919553131262	1.9318763641766072	FALSE	TRUE	FALSE
ARREST_raw	E	0.8	0.8	39	-1.2039728043259361	0.4201102488572377	7.900656396618855e-4	2567.6975	1.6240830531831738	2.6376457636367796	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	40	-1.2039728043259361	0.3400202200192848	0.0034548419077172765	2567.6975	1.543993024345221	2.383914459226702	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	41	-1.2039728043259361	0.3190758995851184	0.00748850352309971	2567.6975	1.5230487039110545	2.319677354485143	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	42	-1.2039728043259361	0.4522712513826442	2.6990752627120695e-4	2567.6975	1.6562440557085802	2.743144372070007	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	43	-1.2039728043259361	0.1830502773765979	0.13241404430013604	2567.6975	1.387023081702534	1.9238330291755943	FALSE	TRUE	FALSE
ARREST_raw	E	0.8	0.8	44	-1.2039728043259361	0.4220631427862062	4.1672896580535745e-4	2567.6975	1.6260359471121424	2.643992901300882	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	45	-1.2039728043259361	0.3617108599995313	0.002387230943255325	2567.6975	1.5656836643254675	2.451365336735623	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	46	-1.2039728043259361	0.5106168897838606	1.4370046984013563e-5	2567.6975	1.7145896941097967	2.939817819147526	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	47	-1.2039728043259361	0.29326972375281857	0.014651169984233547	2567.6975	1.4972425280787547	2.2417351878876604	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	48	-1.2039728043259361	0.3280644098970772	0.005982927523703885	2567.6975	1.5320372142230134	2.3471380257642114	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	49	-1.2039728043259361	0.37458901818319373	0.0014789422681371622	2567.6975	1.5785618225091298	2.4918574274833456	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	50	-1.2039728043259361	0.4067340083554564	6.794408223460557e-4	2567.6975	1.6107068126813926	2.594376436418251	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	51	-1.2039728043259361	0.2336149172136364	0.050759302374760895	2567.6975	1.4375877215395725	2.0666584571213393	FALSE	TRUE	FALSE
ARREST_raw	E	0.8	0.8	52	-1.2039728043259361	0.3277811168877171	0.006433711624380445	2567.6975	1.5317539212136533	2.3462700751534027	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	53	-1.2039728043259361	0.3565208521562227	0.002070489293265698	2567.6975	1.5604936564821588	2.4351404519210575	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	54	-1.2039728043259361	0.3002375779948186	0.011134390280750028	2567.6975	1.5042103823207547	2.2626488742815507	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	55	-1.2039728043259361	0.3776683800907756	0.001368956825084422	2567.6975	1.5816411844167118	2.5015888362430987	TRUE	TRUE	TRUE
ARREST_raw	E	0.8	0.8	56	-1.2039728043259361	0.16176371754227106	0.1750183238611529	2567.6975	1.3657365218682072	1.865236247164668	FALSE	TRUE	FALSE
