scenario_name	test_type	sensitivity	specificity	target_group	nns_needed	nnr_corresponding	true_beta	mean_beta_hat	bias	mse	rmse	sd_beta_hat	wrong_direction	significant_wrong
ARREST	Low Sens/High Spec	0.7	0.95	B	1625	222.4825	2.933856869835904	1.4424546600115389	-1.4914022098243649	2.596498613576349	1.6113654500380563	0.6108608183997315	0.0025	0
ARREST	Balanced/Moderate	0.8	0.8	B	2750	771.695	2.933856869835904	0.7475218845336256	-2.1863349853022784	4.850807546900626	2.2024548910024526	0.26631595787232903	0.005	0
ARREST	High Sens/Low Spec	0.95	0.7	B	2562	992.125	2.933856869835904	0.617051084966093	-2.316805784869811	5.4260710928767475	2.3293928592825957	0.24213347480176473	0.0025	0
ARREST	High Sens/High Spec	0.95	0.95	B	1253	213.4375	2.933856869835904	1.6085943696095006	-1.3252625002264031	2.1667325382241795	1.4719825196734435	0.6414362359813462	0.005	0
ARREST	Near-Perfect	0.99	0.99	B	781	110.655	2.933856869835904	2.2748150902147697	-0.659041779621134	1.035007795660751	1.017353328819811	0.7760007547050563	0	0
ARREST	Perfect (100%)	1	1	B	726	97.63	2.933856869835904	2.4617127558745606	-0.4721441139613429	0.7977707570384928	0.893180136948025	0.7591386047641493	0.0025	0
ARREST	Low Sens/High Spec	0.7	0.95	C	97250	27349.37	-0.23572233352106983	-0.1309090494319609	0.10481328408910894	0.01318473639056045	0.1148248073830758	0.04695128247803282	0.0025	0
ARREST	Balanced/Moderate	0.8	0.8	C	NA	NA	-0.23572233352106983	NA	NA	NA	NA	NA	NA	NA
ARREST	High Sens/Low Spec	0.95	0.7	C	181000	96138.71	-0.23572233352106983	0.06312760784038379	0.2988499413614536	0.08982405834356437	0.2997066204533433	0.02267280379441072	1	0.745
ARREST	High Sens/High Spec	0.95	0.95	C	50750	18778.21	-0.23572233352106983	-0.16017735323014756	0.07554498029092227	0.00852346813817078	0.09232263069351296	0.05313645451109788	0.0025	0
ARREST	Near-Perfect	0.99	0.99	C	29312	10508.775	-0.23572233352106983	-0.22135872704582923	0.01436360647524059	0.00599917814217886	0.07745436167304504	0.0762061901011172	0	0
ARREST	Perfect (100%)	1	1	C	22875	8133.69	-0.23572233352106983	-0.24396213703387312	-0.00823980351280329	0.0071405579858328	0.0845018223817262	0.08420445117627655	0.005	0
ARREST	Low Sens/High Spec	0.7	0.95	D	14000	2317.33	0.3364722366212129	0.31517804982346226	-0.02129418679775061	0.01295668812347413	0.113827448901722	0.11195794830008966	0	0
ARREST	Balanced/Moderate	0.8	0.8	D	10500	3221.82	0.3364722366212129	0.29538238568863245	-0.04108985093258044	0.01402456933807073	0.11842537455322122	0.11120751443394232	0.0075	0
ARREST	High Sens/Low Spec	0.95	0.7	D	8468	3521.4	0.3364722366212129	0.29204135456169344	-0.04443088205951944	0.01371551629032194	0.1171132626576595	0.10849350261656246	0.0025	0
ARREST	High Sens/High Spec	0.95	0.95	D	10375	2180.84	0.3364722366212129	0.3134780554648807	-0.02299418115633215	0.01354776080649208	0.11639484871115252	0.11424385140304208	0.0075	0
ARREST	Near-Perfect	0.99	0.99	D	10375	1912.3175	0.3364722366212129	0.31963043881294956	-0.01684179780826332	0.01460130503622012	0.1208358598935768	0.11980627170417596	0.0075	0
ARREST	Perfect (100%)	1	1	D	10250	1823.18	0.3364722366212129	0.33672278364706015	2.5054702584724605e-4	0.01473855735181533	0.12140246023790184	0.12155423958425075	0	0
ARREST	Low Sens/High Spec	0.7	0.95	E	NA	NA	-1.203972804325936	NA	NA	NA	NA	NA	NA	NA
ARREST	Balanced/Moderate	0.8	0.8	E	57500	17638.9425	-1.203972804325936	0.16701011233877283	1.370982916664709	1.8836288678559936	1.3724535940628353	0.06359891606649852	0.995	0.755
ARREST	High Sens/Low Spec	0.95	0.7	E	32125	13345.23	-1.203972804325936	0.1988039923254306	1.402776796651367	1.972724169070284	1.4045369945538224	0.07038332457165358	0.9925	0.8175
ARREST	High Sens/High Spec	0.95	0.95	E	570000	119735.1625	-1.203972804325936	-0.09984818784248624	1.10412461648345	1.2202282251837964	1.10463940957391	0.03376249731037002	0.0025	0
ARREST	Near-Perfect	0.99	0.99	E	30750	5663.1875	-1.203972804325936	-0.64935229722021	0.5546205071057261	0.3631910709830844	0.6026533588913981	0.2360645680350517	0	0
