scenario_name	n_total	group	power	scenario_set
ARREST_shrunk	2100	E	0.041421430185064945	supp
ARREST_shrunk	2200	A	0.010000000000000009	supp
ARREST_shrunk	2200	B	0.9390369228544061	supp
ARREST_shrunk	2200	C	0.027367454318569018	supp
ARREST_shrunk	2200	D	0.026132569594295774	supp
ARREST_shrunk	2200	E	0.043165771356744265	supp
ARREST_shrunk	2300	A	0.010000000000000009	supp
ARREST_shrunk	2300	B	0.9494342520495317	supp
ARREST_shrunk	2300	C	0.028243859050451237	supp
ARREST_shrunk	2300	D	0.026942282968533626	supp
ARREST_shrunk	2300	E	0.0449311474710512	supp
ARREST_shrunk	2400	A	0.010000000000000009	supp
ARREST_shrunk	2400	B	0.958189599687561	supp
ARREST_shrunk	2400	C	0.029127554641742437	supp
ARREST_shrunk	2400	D	0.02775841961894998	supp
ARREST_shrunk	2400	E	0.04671735341771843	supp
ARREST_shrunk	2500	A	0.010000000000000009	supp
ARREST_shrunk	2500	B	0.9655323415400578	supp
ARREST_shrunk	2500	C	0.03001850605544598	supp
ARREST_shrunk	2500	D	0.02858095106432723	supp
ARREST_shrunk	2500	E	0.04852418316177309	supp
ARREST_shrunk	2600	A	0.010000000000000009	supp
ARREST_shrunk	2600	B	0.971666795432131	supp
ARREST_shrunk	2600	C	0.030916678109635942	supp
ARREST_shrunk	2600	D	0.029409848708678132	supp
ARREST_shrunk	2600	E	0.0503514297923765	supp
ARREST_shrunk	2700	A	0.010000000000000009	supp
ARREST_shrunk	2700	B	0.9767732180779432	supp
ARREST_shrunk	2700	C	0.03182203548067841	supp
ARREST_shrunk	2700	D	0.03024508384357849	supp
ARREST_shrunk	2700	E	0.05219888557095509	supp
ARREST_shrunk	2800	A	0.010000000000000009	supp
ARREST_shrunk	2800	B	0.9810092894695633	supp
ARREST_shrunk	2800	C	0.03273454270642795	supp
ARREST_shrunk	2800	D	0.031086627650483645	supp
ARREST_shrunk	2800	E	0.05406634197862903	supp
ARREST_shrunk	2900	A	0.010000000000000009	supp
ARREST_shrunk	2900	B	0.9845118922919264	supp
ARREST_shrunk	2900	C	0.033654164189399594	supp
ARREST_shrunk	2900	D	0.03193445120302951	supp
ARREST_shrunk	2900	E	0.0559535897629404	supp
ARREST_shrunk	3000	A	0.010000000000000009	supp
ARREST_shrunk	3000	B	0.9873990391240935	supp
ARREST_shrunk	3000	C	0.03458086419991746	supp
ARREST_shrunk	3000	D	0.032788525469315655	supp
ARREST_shrunk	3000	E	0.05786041898388716	supp
ARREST_shrunk	3100	A	0.010000000000000009	supp
ARREST_shrunk	3100	B	0.9897718380963907	supp
ARREST_shrunk	3100	C	0.035514606879237465	supp
ARREST_shrunk	3100	D	0.033648821314173905	supp
ARREST_shrunk	3100	E	0.05978661905926741	supp
ARREST_shrunk	3200	A	0.010000000000000009	supp
ARREST_shrunk	3200	B	0.9917164186884116	supp
ARREST_shrunk	3200	C	0.036455356242648174	supp
ARREST_shrunk	3200	D	0.03451530950141957	supp
ARREST_shrunk	3200	E	0.061731978809338894	supp
ARREST_shrunk	3300	A	0.010000000000000009	supp
ARREST_shrunk	3300	B	0.9933057641774139	supp
ARREST_shrunk	3300	C	0.03740307618254601	supp
ARREST_shrunk	3300	D	0.03538796069608652	supp
ARREST_shrunk	3300	E	0.06369628650079628	supp
ARREST_shrunk	3400	A	0.010000000000000009	supp
ARREST_shrunk	3400	B	0.9946014166813115	supp
ARREST_shrunk	3400	C	0.038357730471486606	supp
ARREST_shrunk	3400	D	0.036266745466646655	supp
ARREST_shrunk	3400	E	0.0656793298900753	supp
ARREST_shrunk	3500	A	0.010000000000000009	supp
ARREST_shrunk	3500	B	0.9956550356020937	supp
ARREST_shrunk	3500	C	0.039319282765213126	supp
ARREST_shrunk	3500	D	0.03715163428721313	supp
ARREST_shrunk	3500	E	0.0676808962659835	supp
ARREST_shrunk	3600	A	0.010000000000000009	supp
ARREST_shrunk	3600	B	0.9965098013439326	supp
ARREST_shrunk	3600	C	0.040287696605659784	supp
ARREST_shrunk	3600	D	0.03804259753972672	supp
ARREST_shrunk	3600	E	0.0697007724916664	supp
ARREST_shrunk	3700	A	0.010000000000000009	supp
ARREST_shrunk	3700	B	0.9972016641673638	supp
ARREST_shrunk	3700	C	0.04126293542393289	supp
ARREST_shrunk	3700	D	0.038939605516128184	supp
ARREST_shrunk	3700	E	0.07173874504591171	supp
ARREST_shrunk	3800	A	0.010000000000000009	supp
ARREST_shrunk	3800	B	0.9977604435749418	supp
ARREST_shrunk	3800	C	0.04224496254326637	supp
ARREST_shrunk	3800	D	0.03984262842051178	supp
ARREST_shrunk	3800	E	0.07379460006379823	supp
ARREST_shrunk	3900	A	0.010000000000000009	supp
ARREST_shrunk	3900	B	0.9982107872442996	supp
ARREST_shrunk	3900	C	0.043233741181955776	supp
ARREST_shrunk	3900	D	0.040751636371265554	supp
ARREST_shrunk	3900	E	0.07586812337669169	supp
ARREST_shrunk	4000	A	0.010000000000000009	supp
ARREST_shrunk	4000	B	0.9985730006844273	supp
ARREST_shrunk	4000	C	0.04422923445626714	supp
ARREST_shrunk	4000	D	0.041666599403194615	supp
ARREST_shrunk	4000	E	0.07795910055159638	supp
ARREST_shrunk	4100	A	0.010000000000000009	supp
ARREST_shrunk	4100	B	0.9988637598626325	supp
ARREST_shrunk	4100	C	0.04523140538332371	supp
ARREST_shrunk	4100	D	0.04258748746962793	supp
ARREST_shrunk	4100	E	0.08006731692986402	supp
