scenario_name	accuracy	group	power	bias	mse	wrong_dir	scenario_set
ARREST_shrunk	0.7	A	0.018	0.038363324172886404	0.017531910530397408	100	supp
ARREST_shrunk	0.7	B	1	-0.42693690606040374	0.20650056388010019	0	supp
ARREST_shrunk	0.7	C	0.017	0.07363598421009886	0.012621842124503518	31.1	supp
ARREST_shrunk	0.7	D	0.106	-0.0016694504731798463	0.01727596400409741	10.5	supp
ARREST_shrunk	0.7	E	0.012	0.5550480608946794	0.34649559671527913	41	supp
ARREST_shrunk	0.75	A	0.014	0.030716711496796067	0.016720967037943596	100	supp
ARREST_shrunk	0.75	B	1	-0.3609346552813984	0.1547420621668936	0	supp
ARREST_shrunk	0.75	C	0.026	0.06061449937367146	0.010869317258368476	25.1	supp
ARREST_shrunk	0.75	D	0.099	-1.5960787704968134e-4	0.01695068830119624	9.8	supp
ARREST_shrunk	0.75	E	0.019	0.5200835092623094	0.31340848715788994	35.6	supp
ARREST_shrunk	0.7999999999999999	A	0.014	0.023162485848166797	0.016310444630415342	100	supp
ARREST_shrunk	0.7999999999999999	B	1	-0.292076473257006	0.10966758158516142	0	supp
ARREST_shrunk	0.7999999999999999	C	0.039	0.04804329930477167	0.009492772312775902	20.8	supp
ARREST_shrunk	0.7999999999999999	D	0.1	5.413775130744633e-4	0.016796231380143006	9.8	supp
ARREST_shrunk	0.7999999999999999	E	0.025	0.47339976105226933	0.2727054892599721	28.299999999999997	supp
ARREST_shrunk	0.85	A	0.014	0.017688909964922242	0.016089315847388392	100	supp
ARREST_shrunk	0.85	B	1	-0.21986406651170226	0.07316458905496033	0	supp
ARREST_shrunk	0.85	C	0.061	0.03383677826480603	0.008461408728270375	16.2	supp
ARREST_shrunk	0.85	D	0.107	0.001911176851578745	0.01669626545244055	9.3	supp
ARREST_shrunk	0.85	E	0.047	0.409865917488664	0.22503029469221447	20.1	supp
ARREST_shrunk	0.8999999999999999	A	0.013	0.008989862185166925	0.015698556324840435	100	supp
ARREST_shrunk	0.8999999999999999	B	1	-0.14932994286178075	0.04740688974468719	0	supp
ARREST_shrunk	0.8999999999999999	C	0.084	0.02149167414633803	0.007970950022903319	13.8	supp
ARREST_shrunk	0.8999999999999999	D	0.096	0.0028575516634290576	0.016361359515554865	8.6	supp
ARREST_shrunk	0.8999999999999999	E	0.072	0.3260463223250592	0.17435686901606595	14.6	supp
ARREST_shrunk	0.95	A	0.013	0.004020559970286937	0.015547646649104458	100	supp
ARREST_shrunk	0.95	B	1	-0.0767346516745679	0.0318770459621369	0	supp
ARREST_shrunk	0.95	C	0.104	0.008207378893535313	0.007372521717987912	9.1	supp
ARREST_shrunk	0.95	D	0.108	0.003540917493822522	0.016200356630509435	9	supp
ARREST_shrunk	0.95	E	0.129	0.2036972496105577	0.1272154528551899	7.199999999999999	supp
ARREST_shrunk	1	A	0.01	-0.002587540774465416	0.014981971390144629	100	supp
ARREST_shrunk	1	B	1	-0.003164956922919399	0.02686387361741789	0	supp
ARREST_shrunk	1	C	0.13	-0.0043844593534109735	0.007313821343712296	6.800000000000001	supp
ARREST_shrunk	1	D	0.112	0.0047179530641174115	0.01666871450099527	9.1	supp
ARREST_shrunk	1	E	0.226	0.0021166016688594774	0.10863108724533453	2.8000000000000003	supp
