power_hard	power_soft_nat	bias_hard	bias_soft_nat	sens_emp	spec_emp	score_version	snr
0.8475	0.8475	-0.07574065172752846	-0.07574065172752846	0.9499633202775615	0.25889078095368795	binary	1
0.965	0.9675	-0.0014014149962347268	0.012178867905329302	0.9499934690481092	0.26031059137643714	tertile	1
0.9675	0.97	0.007076911688159189	0.02385505194673016	0.9499812062651866	0.2599559088831176	quartile	1
0.97	0.9475	0.012840209442829353	0.02550189456740996	0.9499568767055823	0.26104315555345764	decile	1
0.935	0.8925	0.009818535354109056	0.03262587732644001	0.9499718092981048	0.2580279590529336	continuous	1
0.6975	0.6975	-0.02198771799204826	-0.02198771799204826	0.9499711099416025	0.9123913362891026	binary	3
0.6975	1	-0.0163783474800344	0.09466003913568018	0.9499790151953541	0.9127470373078186	tertile	3
0.7	0.9925	-0.0260368999545383	0.11626615085718689	0.9499748482495837	0.9108896914029032	quartile	3
0.795	0.9975	0.017042645627473426	0.14361312335510273	0.9499930188151174	0.9119584190961117	decile	3
0.8725	1	0.06600761654907847	0.2680757166803545	0.9499924459279143	0.9123250421071344	continuous	3
