score_version	power_hard	power_soft	mean_ess_hard	mean_ess_soft	bias_hard	bias_soft	mse_hard	mse_soft	sens_emp	spec_emp
decile	0	1	963.5	2200	-0.1992561336513452	0.09250607176946321	0.05227960169749589	0.010044403205980778	0.9489833858437212	0.9133410463140388
continuous	0.5	1	952.5	1273.1710776224488	-0.06234996338186047	0.22965891520410825	0.013668347688482225	0.06038746646667106	0.9489491990398276	0.9165780456103036
binary	0.5	1	3832.5	3832.5	-0.04886735825917381	0.014760695160601356	0.010739400870031432	0.004364700208000383	0.9957380100916083	0.05007610984840587
tertile	0.5	1	3832.5	2666.333333333333	-0.06417759111413686	-0.026661499240642234	0.007278262262538741	0.00192686614783474	0.9957398093970764	0.05008380450189626
quartile	0.5	1	3832.5	2500	-0.14682301723260743	0.00285840742674498	0.024157867004802838	2.0239452105602282e-4	0.9957355408180864	0.050076253926687984
decile	1	0.5	3832	2200	-0.04871205210138699	0.0383552863568028	0.0026709054407510714	0.010055892361321848	0.9951224537854704	0.05006855927319759
continuous	1	1	3833	1728.843392742594	0.07181743605167942	0.20534031548719903	0.005513174456059523	0.04427429047460324	0.9965245888771145	0.05006855927319759
binary	1	1	3835.5	3835.5	0.0013658252472834032	-0.011947826410529216	0.002008970614684264	0.0022470473368254532	1	0.05006855927319759
tertile	0.5	1	3835.5	2666.333333333333	-0.08972949691429283	0.04878041498942981	0.015041045245779294	0.008445377029681215	1	0.05006855927319759
quartile	1	1	3835.5	2500	-0.016871657605724094	0.12629612969988308	0.0012345211628431339	0.015993043414573808	1	0.050076253926687984
decile	1	1	3835.5	2200	0.003787510894119245	0.18589223510798092	3.6924806585434663e-4	0.03455618632265224	1	0.050076407288427716
continuous	1	1	3835.5	1275.161462856075	-0.091644765958254	0.18039720702149895	0.00852355492678958	0.03533927767104838	1	0.050068865814409363
binary	0	0	1611	1611	1.375771818516427	1.4528882111685655	1.8963402137294725	2.113217669407171	0.9483634644924968	0.311148772662481
tertile	0	0	1659	1466.3333333333333	1.3792129297997904	1.323513762201316	1.9068225660496243	1.7850339179382673	0.9482915666933263	0.2849254742950939
quartile	0.5	0.5	1708	1375	1.6571088764962625	1.6346203148158094	2.7806227922365747	2.677277698503886	0.9481504370746526	0.25799282625289216
decile	0	0	1708	1210	1.2480936458485012	1.4089901116471637	1.5578948153267111	1.9858323818986956	0.9481504370746526	0.257917864224729
continuous	0.5	0	1610	955.5566039360835	1.6342665493799684	1.4936773010710134	2.696264704704045	2.24754629015125	0.9481504370746526	0.3114455118270447
binary	0	0	508.5	508.5	1.6159749827845946	1.0047288123828966	2.667732599592619	1.07076064813314	0.948073476702509	0.911942845590334
tertile	0	0	494	1466.3333333333333	1.446051494229821	1.4082604854567227	2.196246300232133	1.9848570316174659	0.9494611932161874	0.9201843492521348
quartile	0.5	0.5	499	1375	-0.12126809992234344	1.567704310451477	1.6743793579633692	2.469690093741054	0.9494592656768142	0.9172910177874661
decile	0	0	515.5	1210	1.129461448018733	1.325386548433963	1.753851502029982	1.8093356867689754	0.9495270018621974	0.908722353606116
continuous	0	0	468.5	693.6955866186187	2.003266899405059	0.5498820877391463	4.019632252298255	0.3310418036763721	0.9495270018621974	0.9342709681257715
binary	1	0	2106.5	2106.5	1.588631139049884	1.3517189447889326	2.523807705993245	1.832290339262233	0.9972696525418678	0.05044990052450714
tertile	0.5	0.5	2106	1466.3333333333333	1.404432566729707	1.494218300418825	2.0315337979921178	2.2391792482388455	0.9958690923177782	0.05044990052450714
quartile	0	0.5	2106	1375	1.370472360380726	1.5706223777503345	1.8862061270209087	2.480170169651641	0.9958612240019125	0.050436217985310346
decile	0.5	0.5	2106.5	1210	1.4983051925918798	1.5877602258819952	2.254115721075988	2.5241566785618788	0.9973474801061009	0.050463734478563976
continuous	0.5	0.5	2105	954.7696959155454	1.4715901192372747	1.4390677779663892	2.167199847864752	2.1221272570806757	0.9932983121675089	0.050477431873937974
binary	0.5	0	2107.5	2107.5	1.4275201045460038	1.3237273830223262	2.047899290140119	1.76047836866685	1	0.05044990052450714
tertile	0	0	2107.5	1466.3333333333333	1.396495849327514	1.404832878200723	1.9502280257371933	1.9735558828644946	1	0.0504497791263219
quartile	0	0.5	2107.5	1375	1.3325506317467224	1.38140978455885	1.7790509123370448	1.9720304181312112	1	0.050463597919881135
decile	0	0	2107.5	1210	1.4022012703702158	1.5206872843070984	1.970917926866834	2.3134018193022934	1	0.050463597919881135
continuous	0	0	2107.5	694.2309927880535	1.3353989801613726	0.8116020572775653	1.783291638898314	0.660098354951303	1	0.05049114414969803
