scenario_name	accuracy	group	power	bias	mse	wrong_dir
ARREST	0.5	A	0.032	0.10396689284237474	0.038058795157964516	0
ARREST	0.5	B	1	-1.7952236222552123	3.271350444355897	0
ARREST	0.5	C	0.008	0.2647020679597183	0.08477383223968704	61.8
ARREST	0.5	D	0.342	-0.03241723012004054	0.02083087139182076	1.6
ARREST	0.5	E	0.024	1.319603071810953	1.7880875013080435	72.6
ARREST	0.5	Overall	0.954	0.09791542752857614	0.014661435666165885	0
ARREST	0.55	A	0.02	0.094232341999178	0.035818834628950275	0
ARREST	0.55	B	1	-1.663666364683804	2.8202327358409423	0
ARREST	0.55	C	0.014	0.23851908522576698	0.07157897372140493	51
ARREST	0.55	D	0.344	-0.033977381077676914	0.020932755346637084	1.7999999999999998
ARREST	0.55	E	0.008	1.2862560627546682	1.7061745537144126	64.2
ARREST	0.55	Overall	0.954	0.09791542752857614	0.014661435666165885	0
ARREST	0.6	A	0.016	0.08019735903328414	0.03318808311523724	0
ARREST	0.6	B	1	-1.545977261002373	2.4440071864354773	0
ARREST	0.6	C	0.012	0.21427700201819855	0.06036027432123775	43.4
ARREST	0.6	D	0.384	-0.030951629510527975	0.020801401774775217	1.4000000000000001
ARREST	0.6	E	0.012	1.2544511504139382	1.629334242770407	57.599999999999994
ARREST	0.6	Overall	0.954	0.09791542752857614	0.014661435666165885	0
ARREST	0.65	A	0.012	0.06557885594164542	0.030844414794178092	0
ARREST	0.65	B	1	-1.425111670273691	2.090535056286988	0
ARREST	0.65	C	0.012	0.1882367344562417	0.04988901727681599	36.199999999999996
ARREST	0.65	D	0.424	-0.02510538460672527	0.019980630499094404	1.4000000000000001
ARREST	0.65	E	0.008	1.2208379058435168	1.5534907925119121	52.400000000000006
ARREST	0.65	Overall	0.954	0.09791542752857614	0.014661435666165885	0
ARREST	0.7	A	0.016	0.05430229901624067	0.029545629793680857	0
ARREST	0.7	B	1	-1.2825688749943478	1.7166879329008284	0
ARREST	0.7	C	0.018	0.16281887958081034	0.04080013392340132	27.400000000000002
ARREST	0.7	D	0.44	-0.02149738588280654	0.019453046663840717	1
ARREST	0.7	E	0.006	1.1694076760454983	1.4367146426251416	43.4
ARREST	0.7	Overall	0.954	0.09791542752857614	0.014661435666165885	0
ARREST	0.75	A	0.01	0.04407645406180748	0.027389640426161283	0
ARREST	0.75	B	1	-1.134042158242956	1.3627786289202628	0
ARREST	0.75	C	0.03	0.13728416119843756	0.03316808663512173	20
ARREST	0.75	D	0.472	-0.018609092645585537	0.01860347312818942	0.6
ARREST	0.75	E	0.012	1.1035339439644043	1.29777129530287	34.599999999999994
ARREST	0.75	Overall	0.954	0.09791542752857614	0.014661435666165885	0
ARREST	0.8	A	0.01	0.03212624246102295	0.026500470107951653	0
ARREST	0.8	B	1	-0.9700672630270619	1.024903078290495	0
ARREST	0.8	C	0.058	0.11185222359922438	0.02729274884288108	15.2
ARREST	0.8	D	0.494	-0.016336376422767578	0.01838322467385236	1.4000000000000001
ARREST	0.8	E	0.012	1.0247952899465405	1.1405578384391146	25.8
ARREST	0.8	Overall	0.954	0.09791542752857614	0.014661435666165885	0
ARREST	0.8500000000000001	A	0.01	0.025179414579676932	0.025631521368121676	0
ARREST	0.8500000000000001	B	1	-0.7850575286240361	0.7078727884241105	0
ARREST	0.8500000000000001	C	0.08	0.08147720487674943	0.022224547743505508	10
ARREST	0.8500000000000001	D	0.51	-0.01261584906443539	0.018179054597066584	0.8
ARREST	0.8500000000000001	E	0.03	0.9139427976096589	0.9556431551452761	21.4
ARREST	0.8500000000000001	Overall	0.954	0.09791542752857614	0.014661435666165885	0
ARREST	0.9	A	0.008	0.015072972766029796	0.025096475601208312	0
ARREST	0.9	B	1	-0.5593677278450246	0.42645864836562253	0
ARREST	0.9	C	0.128	0.052636116671206865	0.019093219958615036	7.8
ARREST	0.9	D	0.522	-0.008750904098087944	0.017096904013332463	0.4
ARREST	0.9	E	0.056	0.7663655260634809	0.7382738396527619	11
ARREST	0.9	Overall	0.954	0.09791542752857614	0.014661435666165885	0
ARREST	0.95	A	0.008	0.0038575883197323455	0.024941660926376688	0
ARREST	0.95	B	1	-0.27039990192425234	0.23853557216042584	0
ARREST	0.95	C	0.172	0.024928572991369018	0.016932204706711387	4.6
ARREST	0.95	D	0.53	-0.00682186357783828	0.015946804435984098	0.6
ARREST	0.95	E	0.118	0.497890267315304	0.46560204649202086	5.2
ARREST	0.95	Overall	0.954	0.09791542752857614	0.014661435666165885	0
ARREST	0.99	A	0.004	-0.00596003952720665	0.024245415463381197	0
ARREST	0.99	B	1	0.004211224089366677	0.2158628033656447	0
ARREST	0.99	C	0.222	6.653105786886926e-4	0.01724257286518766	3.5999999999999996
ARREST	0.99	D	0.546	-0.004093454717216512	0.015474479388942081	0.8
ARREST	0.99	E	0.166	0.04032188709000847	1.4389902315559093	1.7999999999999998
ARREST	0.99	Overall	0.954	0.09791542752857614	0.014661435666165885	0
ARREST	1	A	0.004	-0.007229565571945366	0.023574481618189924	0
ARREST	1	B	0.998	0.11063600694503627	0.7420873218609888	0
ARREST	1	C	0.224	-0.005646527722826016	0.017112021790357607	3.2
ARREST	1	D	0.558	-0.004130863732383992	0.015577576015784455	0.8
ARREST	1	E	0.19	-0.23994787336400458	3.7190625538014914	1.6
ARREST	1	Overall	0.954	0.09791542752857614	0.014661435666165885	0
Conservative	0.5	A	0.01	-0.02801359157980944	0.029351740197834198	0
Conservative	0.5	B	0.012	-0.6265721055424708	0.4633720386264829	37.2
