test_type	event_rate_multiplier	proportion_multiplier	nns	nnr	bias
High Sens/Low Spec	1.6	1.1	328466	174476	0.2747455541739491
High Sens/Low Spec	1.6	1.2	661750	351512	0.2626098135057764
High Sens/Low Spec	1.6	1.3	1776813	943818	0.25179150641621784
High Sens/Low Spec	1.6	1.4	10799572	5736577	0.2421132217098768
High Sens/Low Spec	1.6	1.5	80815639	42928101	0.23342907874987076
High Sens/Low Spec	1.6	1.6	4019282	2134985	0.22561804290464138
High Sens/Low Spec	1.6	1.7000000000000002	1350647	717444	0.21857888035479217
High Sens/Low Spec	1.6	1.8	696761	370110	0.2122263005143165
High Sens/Low Spec	1.6	1.9	436840	232043	0.20648797157170365
High Sens/Low Spec	1.6	2	306319	162713	0.20130218660665758
High Sens/Low Spec	1.7000000000000002	1	195022	103593	0.28629484691669116
High Sens/Low Spec	1.7000000000000002	1.1	345502	183526	0.2728344676088912
High Sens/Low Spec	1.7000000000000002	1.2	718124	381458	0.26090393556998637
High Sens/Low Spec	1.7000000000000002	1.3	2059914	1094197	0.2502867418022145
High Sens/Low Spec	1.7000000000000002	1.4	16259289	8636700	0.24080670559598655
High Sens/Low Spec	1.7000000000000002	1.5	34986032	18584075	0.23231902929147624
High Sens/Low Spec	1.7000000000000002	1.6	3224434	1712773	0.22470364445817612
High Sens/Low Spec	1.7000000000000002	1.7000000000000002	1187653	630864	0.21786019101578724
High Sens/Low Spec	1.7000000000000002	1.8	636921	338323	0.21170417914060075
High Sens/Low Spec	1.7000000000000002	1.9	408436	216956	0.20616402062626701
High Sens/Low Spec	1.7000000000000002	2	290890	154517	0.20117870801712434
High Sens/Low Spec	1.8	1	202516	107574	0.28420114868015883
High Sens/Low Spec	1.8	1.1	366035	194433	0.2709527251056105
High Sens/Low Spec	1.8	1.2	787202	418150	0.2592291758760637
High Sens/Low Spec	1.8	1.3	2436122	1294033	0.24881543231793402
High Sens/Low Spec	1.8	1.4	27628609	14675919	0.23953657189846725
High Sens/Low Spec	1.8	1.5	19376391	10292459	0.2312489123660277
High Sens/Low Spec	1.8	1.6	2651853	1408626	0.2238333887578523
High Sens/Low Spec	1.8	1.7000000000000002	1057111	561523	0.21719055699740775
High Sens/Low Spec	1.8	1.8	587527	312086	0.21123677551307551
High Sens/Low Spec	1.8	1.9	384958	204485	0.2059012527096614
High Sens/Low Spec	1.8	2	278374	147869	0.20112373947383377
High Sens/Low Spec	1.9	1	211499	112346	0.28213462941861855
High Sens/Low Spec	1.9	1.1	390573	207467	0.2690994955679511
High Sens/Low Spec	1.9	1.2	872084	463238	0.2575848265695004
High Sens/Low Spec	1.9	1.3	2947908	1565887	0.24737702209440326
High Sens/Low Spec	1.9	1.4	57927476	30770239	0.23830245114470114
High Sens/Low Spec	1.9	1.5	12288281	6527358	0.23021858568520404
High Sens/Low Spec	1.9	1.6	2227104	1183006	0.22300740867394506
High Sens/Low Spec	1.9	1.7000000000000002	951371	505355	0.21657044241023934
High Sens/Low Spec	1.9	1.8	546582	290337	0.2108249502193963
High Sens/Low Spec	1.9	1.9	365614	194209	0.20570100046949963
High Sens/Low Spec	1.9	2	268384	142562	0.2011391729674301
High Sens/Low Spec	2	1	222122	117988	0.2800943944817224
High Sens/Low Spec	2	1.1	419789	222986	0.26727398513962936
High Sens/Low Spec	2	1.2	977056	518998	0.25597021994922503
High Sens/Low Spec	2	1.3	3665710	1947172	0.245971000488565
High Sens/Low Spec	2	1.4	194349705	103235758	0.2371040269308746
High Sens/Low Spec	2	1.5	8496794	4513375	0.22922797139018194
High Sens/Low Spec	2	1.6	1904310	1011542	0.2222259172933784
High Sens/Low Spec	2	1.7000000000000002	864926	459436	0.21600041289512784
High Sens/Low Spec	2	1.8	512580	272275	0.2104696935444349
High Sens/Low Spec	2	1.9	349802	185810	0.2055647628668448
High Sens/Low Spec	2	2	260636	138446	0.2012271137823975
Low Sens/High Spec	1	1	92006	25871	0.10317030418660011
Low Sens/High Spec	1	1.1	76392	21481	0.09559901450227529
Low Sens/High Spec	1	1.2	65188	18330	0.08916096123485998
Low Sens/High Spec	1	1.3	56808	15974	0.08362767864889181
Low Sens/High Spec	1	1.4	50334	14154	0.07882850268179536
Low Sens/High Spec	1	1.5	45199	12710	0.07463337978369125
Low Sens/High Spec	1	1.6	41039	11540	0.07094146928441883
Low Sens/High Spec	1	1.7000000000000002	37607	10575	0.06767338187546756
Low Sens/High Spec	1	1.8	34734	9767	0.06476576882881727
Low Sens/High Spec	1	1.9	32297	9082	0.06216747104102058
Low Sens/High Spec	1	2	30208	8494	0.059836727234811093
Low Sens/High Spec	1.1	1	83060	23356	0.10216900288144501
Low Sens/High Spec	1.1	1.1	69183	19454	0.09472018237028151
Low Sens/High Spec	1.1	1.2	59196	16645	0.08839267721252234
Low Sens/High Spec	1.1	1.3	51709	14540	0.08296055564628216
Low Sens/High Spec	1.1	1.4	45914	12911	0.07825508150335056
Low Sens/High Spec	1.1	1.5	41312	11617	0.0741476972862089
Low Sens/High Spec	1.1	1.6	37579	10567	0.07053874413333594
Low Sens/High Spec	1.1	1.7000000000000002	34498	9701	0.06734978165032435
Low Sens/High Spec	1.1	1.8	31917	8975	0.06451823464110484
Low Sens/High Spec	1.1	1.9	29728	8359	0.06199358361013657
Low Sens/High Spec	1.1	2	27851	7832	0.059734603376878165
Low Sens/High Spec	1.2	1	75642	21270	0.10118632321199539
Low Sens/High Spec	1.2	1.1	63202	17772	0.09385929378836616
Low Sens/High Spec	1.2	1.2	54223	15247	0.08764202058655174
Low Sens/High Spec	1.2	1.3	47478	13350	0.08231107385344064
Low Sens/High Spec	1.2	1.4	42248	11880	0.07769962350910012
Low Sens/High Spec	1.2	1.5	38089	10711	0.07368059393445395
Low Sens/High Spec	1.2	1.6	34713	9761	0.07015549980304786
Low Sens/High Spec	1.2	1.7000000000000002	31925	8977	0.06704684605585759
Low Sens/High Spec	1.2	1.8	29589	8320	0.06429283129662552
Low Sens/High Spec	1.2	1.9	27606	7763	0.061843579151978634
Low Sens/High Spec	1.2	2	25907	7285	0.05965840687475854
Low Sens/High Spec	1.3	1	69398	19514	0.10022159672172382
Low Sens/High Spec	1.3	1.1	58165	16355	0.09301575262363068
Low Sens/High Spec	1.3	1.2	50034	14069	0.08690847035589869
Low Sens/High Spec	1.3	1.3	43914	12348	0.08167879312008275
Low Sens/High Spec	1.3	1.4	39161	11012	0.07716177794618129
Low Sens/High Spec	1.3	1.5	35378	9948	0.07323181975628204
Low Sens/High Spec	1.3	1.6	32304	9084	0.06979160140416618
Low Sens/High Spec	1.3	1.7000000000000002	29764	8370	0.06676457264996441
Low Sens/High Spec	1.3	1.8	27636	7771	0.06408970942612155
Low Sens/High Spec	1.3	1.9	25830	7263	0.06171778550641152
Low Sens/High Spec	1.3	2	24282	6828	0.0596086707240116
Low Sens/High Spec	1.4	1	64074	18017	0.09927418709889352
Low Sens/High Spec	1.4	1.1	53868	15147	0.0921889933357162
Low Sens/High Spec	1.4	1.2	46461	13064	0.0861915354502732
Low Sens/High Spec	1.4	1.3	40874	11494	0.08106330359703162
Low Sens/High Spec	1.4	1.4	36530	10272	0.07664122596079936
Low Sens/High Spec	1.4	1.5	33068	9299	0.0728011597573619
Low Sens/High Spec	1.4	1.6	30254	8507	0.06944695390136146
Low Sens/High Spec	1.4	1.7000000000000002	27928	7853	0.0665030059062747
Low Sens/High Spec	1.4	1.8	25979	7305	0.06390907629179218
Low Sens/High Spec	1.4	1.9	24326	6840	0.061616600075321076
Low Sens/High Spec	1.4	2	22910	6442	0.059586014294114586
Low Sens/High Spec	1.5	1	59486	16727	0.09834348808901033
Low Sens/High Spec	1.5	1.1	50162	14105	0.09137847907930921
Low Sens/High Spec	1.5	1.2	43379	12198	0.08549075304356424
Low Sens/High Spec	1.5	1.3	38254	10757	0.0804642243052979
Low Sens/High Spec	1.5	1.4	34263	9635	0.07613767949803377
Low Sens/High Spec	1.5	1.5	31080	8740	0.07238843326562419
Low Sens/High Spec	1.5	1.6	28492	8012	0.06912150206611922
Low Sens/High Spec	1.5	1.7000000000000002	26352	7410	0.06626223800236705
Low Sens/High Spec	1.5	1.8	24560	6906	0.06375119771882753
Low Sens/High Spec	1.5	1.9	23041	6479	0.06154049330733924
Low Sens/High Spec	1.5	2	21741	6114	0.05959114890463624
Low Sens/High Spec	1.6	1	55495	15605	0.09742892156485208
Low Sens/High Spec	1.6	1.1	46937	13198	0.09058369995532209
Low Sens/High Spec	1.6	1.2	40697	11444	0.08480568701156244
Low Sens/High Spec	1.6	1.3	35974	10116	0.07988120185159134
Low Sens/High Spec	1.6	1.4	32292	9080	0.07565088035990647
Low Sens/High Spec	1.6	1.5	29354	8254	0.07199349346024972
Low Sens/High Spec	1.6	1.6	26964	7582	0.06881523066163975
Low Sens/High Spec	1.6	1.7000000000000002	24989	7027	0.06604240991884197
Low Sens/High Spec	1.6	1.8	23335	6562	0.06361640046117673
Low Sens/High Spec	1.6	1.9	21934	6168	0.06149001280348454
Low Sens/High Spec	1.6	2	20737	5831	0.059624884297541175
Low Sens/High Spec	1.7000000000000002	1	51994	14620	0.09652993573991717
Low Sens/High Spec	1.7000000000000002	1.1	44107	12403	0.08980417139774796
Low Sens/High Spec	1.7000000000000002	1.2	38344	10782	0.084135926522268
Low Sens/High Spec	1.7000000000000002	1.3	33975	9554	0.07931390928028528
Low Sens/High Spec	1.7000000000000002	1.4	30566	8595	0.07518059941434538
Low Sens/High Spec	1.7000000000000002	1.5	27844	7830	0.07161622708204662
Low Sens/High Spec	1.7000000000000002	1.6	25630	7207	0.06852816486368882
Low Sens/High Spec	1.7000000000000002	1.7000000000000002	23801	6693	0.06584371286440788
Low Sens/High Spec	1.7000000000000002	1.8	22270	6262	0.06350507503500818
Low Sens/High Spec	1.7000000000000002	1.9	20976	5898	0.061465788106135705
Low Sens/High Spec	1.7000000000000002	2	19872	5588	0.05968813611311813
Low Sens/High Spec	1.8	1	48900	13750	0.09564600351254873
Low Sens/High Spec	1.8	1.1	41606	11699	0.08903943268449185
Low Sens/High Spec	1.8	1.2	36264	10197	0.08348108474833504
Low Sens/High Spec	1.8	1.3	32209	9057	0.07876204505314965
Low Sens/High Spec	1.8	1.4	29043	8167	0.07472663594914261
Low Sens/High Spec	1.8	1.5	26514	7456	0.07125655432394476
Low Sens/High Spec	1.8	1.6	24458	6877	0.06826037092387943
Low Sens/High Spec	1.8	1.7000000000000002	22760	6400	0.0656663900463749
Low Sens/High Spec	1.8	1.8	21340	6001	0.06341767906034934
Low Sens/High Spec	1.8	1.9	20143	5664	0.061468536245647354
Low Sens/High Spec	1.8	2	19123	5378	0.059781934497102035
Low Sens/High Spec	1.9	1	46149	12977	0.09477662092924838
Low Sens/High Spec	1.9	1.1	39381	11074	0.08828904556167075
Low Sens/High Spec	1.9	1.2	34415	9677	0.08284079769237648
Low Sens/High Spec	1.9	1.3	30641	8616	0.07822533214936672
Low Sens/High Spec	1.9	1.4	27692	7787	0.07428881716639582
Low Sens/High Spec	1.9	1.5	25337	7125	0.07091442890218108
Low Sens/High Spec	1.9	1.6	23422	6586	0.06801195708469526
Low Sens/High Spec	1.9	1.7000000000000002	21843	6142	0.06551073881059111
Low Sens/High Spec	1.9	1.8	20525	5772	0.06335474115935275
Low Sens/High Spec	1.9	1.9	19415	5460	0.06149906813270278
Low Sens/High Spec	1.9	2	18474	5195	0.059907433990243536
Low Sens/High Spec	2	1	43689	12285	0.09392130575680652
Low Sens/High Spec	2	1.1	37391	10514	0.08755259297192658
Low Sens/High Spec	2	1.2	32762	9213	0.08221472311686315
Low Sens/High Spec	2	1.3	29241	8222	0.07770351727945138
Low Sens/High Spec	2	1.4	26488	7448	0.07386699781424752
Low Sens/High Spec	2	1.5	24289	6830	0.0705898383106297
Low Sens/High Spec	2	1.6	22503	6328	0.06778307475853526
Low Sens/High Spec	2	1.7000000000000002	21033	5914	0.06537711318001518
Low Sens/High Spec	2	1.8	19808	5570	0.06331686546874135
Low Sens/High Spec	2	1.9	18780	5281	0.061558295900550425
Low Sens/High Spec	2	2	17911	5037	0.060065924879640825
Balanced/Moderate	1	1	1411794	583639	0.26273332928583437
Balanced/Moderate	1	1.1	5963388	2465277	0.24850813535895425
Balanced/Moderate	1	1.2	25116903793	10383379816	0.2359143300194479
Balanced/Moderate	1	1.3	7258519	3000687	0.22469870189384153
Balanced/Moderate	1	1.4	1899162	785118	0.21465833447852709
Balanced/Moderate	1	1.5	891095	368381	0.20562868108565324
Balanced/Moderate	1	1.6	529519	218905	0.1974748884925616
Balanced/Moderate	1	1.7000000000000002	357736	147889	0.1900853791466368
Balanced/Moderate	1	1.8	261941	108287	0.18336703301958784
Balanced/Moderate	1	1.9	202666	83783	0.17724152154578443
Balanced/Moderate	1	2	163210	67472	0.17164248396153986
Balanced/Moderate	1.1	1	1525707	630731	0.26061678556472373
Balanced/Moderate	1.1	1.1	7575463	3131712	0.24659366329979648
Balanced/Moderate	1.1	1.2	363044488	150083340	0.23419155418211002
Balanced/Moderate	1.1	1.3	5137274	2123760	0.2231590121446788
Balanced/Moderate	1.1	1.4	1540756	636952	0.21329458682073651
Balanced/Moderate	1.1	1.5	758611	313612	0.20443496226183633
Balanced/Moderate	1.1	1.6	462321	191125	0.1964463288680812
Balanced/Moderate	1.1	1.7000000000000002	317360	131198	0.18921800261041538
Balanced/Moderate	1.1	1.8	235015	97156	0.18265763559822815
Balanced/Moderate	1.1	1.9	183408	75821	0.1766875725302798
Balanced/Moderate	1.1	2	148733	61487	0.1712420448621219
Balanced/Moderate	1.2	1	1682006	695345	0.25853335869283073
Balanced/Moderate	1.2	1.1	10258346	4240822	0.24471260091067476
Balanced/Moderate	1.2	1.2	76048864	31438757	0.2325029210611932
Balanced/Moderate	1.2	1.3	3798176	1570174	0.2216546339118901
Balanced/Moderate	1.2	1.4	1273838	526608	0.2119677544985165
Balanced/Moderate	1.2	1.5	654746	270673	0.20328020017819926
Balanced/Moderate	1.2	1.6	408463	168860	0.19545921049638942
Balanced/Moderate	1.2	1.7000000000000002	284660	117679	0.1883950031588953
Balanced/Moderate	1.2	1.8	213104	88098	0.18199601310775987
Balanced/Moderate	1.2	1.9	167714	69334	0.17618527133122563
Balanced/Moderate	1.2	2	136947	56614	0.17089761674839082
Balanced/Moderate	1.3	1	1893049	782591	0.2564818979804015
Balanced/Moderate	1.3	1.1	15161090	6267626	0.24286389457415095
Balanced/Moderate	1.3	1.2	30948355	12794114	0.23084748800736446
Balanced/Moderate	1.3	1.3	2906653	1201616	0.22018475248660238
Balanced/Moderate	1.3	1.4	1070365	442491	0.21067717097918232
Balanced/Moderate	1.3	1.5	571869	236412	0.2021639001932971
Balanced/Moderate	1.3	1.6	364615	150733	0.1945132380675992
Balanced/Moderate	1.3	1.7000000000000002	257784	106569	0.18761631625643227
Balanced/Moderate	1.3	1.8	195024	80624	0.18138236754147385
Balanced/Moderate	1.3	1.9	154758	63978	0.17573512688146836
Balanced/Moderate	1.3	2	127234	52599	0.17061006093957848
Balanced/Moderate	1.4	1	2178616	900645	0.25446130444802106
Balanced/Moderate	1.4	1.1	25591698	10579661	0.2410465420516142
Balanced/Moderate	1.4	1.2	16350165	6759192	0.22922436462149715
Balanced/Moderate	1.4	1.3	2287474	945647	0.2187486077615481
Balanced/Moderate	1.4	1.4	912125	377075	0.2094222284938423
Balanced/Moderate	1.4	1.5	504735	208659	0.20108563279349623
Balanced/Moderate	1.4	1.6	328439	135777	0.1936081904243797
Balanced/Moderate	1.4	1.7000000000000002	235422	97324	0.18688196374068436
Balanced/Moderate	1.4	1.8	179935	74386	0.18081700330402362
Balanced/Moderate	1.4	1.9	143950	59510	0.17533777109885001
Balanced/Moderate	1.4	2	119158	49260	0.17038038767656966
Balanced/Moderate	1.5	1	2570677	1062723	0.2524705275179898
Balanced/Moderate	1.5	1.1	54677969	22603985	0.23925958938398365
Balanced/Moderate	1.5	1.2	9953804	4114924	0.2276327099241991
Balanced/Moderate	1.5	1.3	1842370	761640	0.21734549175925366
Balanced/Moderate	1.5	1.4	786918	325314	0.20820237605274045
Balanced/Moderate	1.5	1.5	449638	185881	0.20004503227277753
Balanced/Moderate	1.5	1.6	298251	123298	0.19274392014457611
Balanced/Moderate	1.5	1.7000000000000002	216624	89553	0.18619205462219712
Balanced/Moderate	1.5	1.8	167226	69132	0.1803003296355881
Balanced/Moderate	1.5	1.9	134862	55753	0.17499396345708573
Balanced/Moderate	1.5	2	112399	46466	0.17020976350132666
Balanced/Moderate	1.6	1	3122709	1290935	0.2505085619431928
Balanced/Moderate	1.6	1.1	204597150	84580884	0.23750212802562182
Balanced/Moderate	1.6	1.2	6629333	2740580	0.22607172976005024
Balanced/Moderate	1.6	1.3	1513111	625524	0.21597474640522046
Balanced/Moderate	1.6	1.4	686340	283734	0.20701711772892342
Balanced/Moderate	1.6	1.5	403901	166974	0.19904179572314823
Balanced/Moderate	1.6	1.6	272815	112783	0.19192035350373401
Balanced/Moderate	1.6	1.7000000000000002	200686	82964	0.1855467863710185
Balanced/Moderate	1.6	1.8	156441	64673	0.17983286368233276
Balanced/Moderate	1.6	1.9	127176	52575	0.17470459643319966
Balanced/Moderate	1.6	2	106722	44119	0.1700995198384849
Balanced/Moderate	1.7000000000000002	1	3928967	1624243	0.2485744449526247
Balanced/Moderate	1.7000000000000002	1.1	237367646722	98128274573	0.2357732921916547
Balanced/Moderate	1.7000000000000002	1.2	4699275	1942690	0.22454067441817685
Balanced/Moderate	1.7000000000000002	1.3	1263591	522371	0.21463576152987962
Balanced/Moderate	1.7000000000000002	1.4	604466	249888	0.20586601119743783
Balanced/Moderate	1.7000000000000002	1.5	365553	151121	0.19807568232835554
Balanced/Moderate	1.7000000000000002	1.6	251201	103847	0.19113749081894094
Balanced/Moderate	1.7000000000000002	1.7000000000000002	187076	77338	0.18494644670538524
Balanced/Moderate	1.7000000000000002	1.8	147238	60869	0.17941523424918573
Balanced/Moderate	1.7000000000000002	1.9	120650	49877	0.17447070189911226
Balanced/Moderate	1.7000000000000002	2	101949	42146	0.17005116289365127
Balanced/Moderate	1.8	1	5167824	2136390	0.24666725359472927
Balanced/Moderate	1.8	1.1	216072182	89324686	0.23407225640084736
Balanced/Moderate	1.8	1.2	3487935	1441920	0.22303883645272493
Balanced/Moderate	1.8	1.3	1070551	442568	0.21332797308514553
Balanced/Moderate	1.8	1.4	537029	222009	0.20474866651954052
Balanced/Moderate	1.8	1.5	333115	137711	0.19714651295638957
Balanced/Moderate	1.8	1.6	232701	96199	0.19039540717916134
Balanced/Moderate	1.8	1.7000000000000002	175386	72505	0.18439141590300867
Balanced/Moderate	1.8	1.8	139351	57608	0.17904818627925978
Balanced/Moderate	1.8	1.9	115101	47583	0.17429345853803885
Balanced/Moderate	1.8	2	97945	40491	0.17006638500344687
Balanced/Moderate	1.9	1	7210806	2980962	0.24478610226148317
Balanced/Moderate	1.9	1.1	50977481	21074196	0.2323982331979071
Balanced/Moderate	1.9	1.2	2682239	1108843	0.22156554868855755
Balanced/Moderate	1.9	1.3	918514	379716	0.21205086156323744
Balanced/Moderate	1.9	1.4	480900	198806	0.20366474516356559
Balanced/Moderate	1.9	1.5	305462	126279	0.19625417004901205
Balanced/Moderate	1.9	1.6	216768	89613	0.1896942535711088
Balanced/Moderate	1.9	1.7000000000000002	165298	68335	0.1838821696613187
Balanced/Moderate	1.9	1.8	132575	54807	0.17873258611345583
Balanced/Moderate	1.9	1.9	110385	45634	0.17417420038103876
Balanced/Moderate	1.9	2	94606	39111	0.17014707759585518
Balanced/Moderate	2	1	10941825	4523373	0.24293014037772812
Balanced/Moderate	2	1.1	21879671	9045101	0.2307504710406521
Balanced/Moderate	2	1.2	2121675	877105	0.22012018239907058
Balanced/Moderate	2	1.3	796888	329436	0.2108039506071681
Balanced/Moderate	2	1.4	433744	179311	0.20261395925613382
Balanced/Moderate	2	1.5	281725	116466	0.1953985978092931
Balanced/Moderate	2	1.6	202974	83910	0.18903425841373026
Balanced/Moderate	2	1.7000000000000002	156562	64723	0.1834192825393382
Balanced/Moderate	2	1.8	126748	52398	0.17846942759401313
Balanced/Moderate	2	1.9	106390	43982	0.17411442657577458
Balanced/Moderate	2	2	91853	37972	0.17029534594668427
