test_type	event_rate_multiplier	proportion_multiplier	nns	nnr	bias
Perfect (100%)	1.9	1.5	9718	3457	-1.3877787807814457e-16
Perfect (100%)	1.9	1.6	9260	3294	0
Perfect (100%)	1.9	1.7000000000000002	8861	3152	0
Perfect (100%)	1.9	1.8	8513	3028	0
Perfect (100%)	1.9	1.9	8207	2919	0
Perfect (100%)	1.9	2	7938	2823	-1.3877787807814457e-16
Perfect (100%)	2	1	12937	4602	-1.3877787807814457e-16
Perfect (100%)	2	1.1	11943	4248	2.7755575615628914e-16
Perfect (100%)	2	1.2	11122	3956	-1.3877787807814457e-16
Perfect (100%)	2	1.3	10434	3711	0
Perfect (100%)	2	1.4	9850	3504	-1.3877787807814457e-16
Perfect (100%)	2	1.5	9351	3326	-1.3877787807814457e-16
Perfect (100%)	2	1.6	8921	3173	0
Perfect (100%)	2	1.7000000000000002	8547	3040	0
Perfect (100%)	2	1.8	8222	2925	-1.3877787807814457e-16
Perfect (100%)	2	1.9	7938	2823	-1.3877787807814457e-16
Perfect (100%)	2	2	7688	2735	0
Near-Perfect	1	1	27475	9851	0.01677145268682717
Near-Perfect	1	1.1	24884	8923	0.015365949112489119
Near-Perfect	1	1.2	22769	8164	0.014196627113239518
Near-Perfect	1	1.3	21011	7534	0.013210226884226628
Near-Perfect	1	1.4	19526	7001	0.012368432208525043
Near-Perfect	1	1.5	18257	6546	0.011642974793140387
Near-Perfect	1	1.6	17159	6153	0.011012545000786883
Near-Perfect	1	1.7000000000000002	16202	5810	0.010460776418125844
Near-Perfect	1	1.8	15360	5508	0.009974892630636556
Near-Perfect	1	1.9	14615	5240	0.009544775543146783
Near-Perfect	1	2	13950	5002	0.00916230960875472
Near-Perfect	1.1	1	25112	9005	0.016593169924790957
Near-Perfect	1.1	1.1	22767	8164	0.015212086226945531
Near-Perfect	1.1	1.2	20852	7477	0.014064169985288755
Near-Perfect	1.1	1.3	19260	6906	0.013096883325997732
Near-Perfect	1.1	1.4	17916	6424	0.012272432902316888
Near-Perfect	1.1	1.5	16768	6012	0.011562939224074198
Near-Perfect	1.1	1.6	15775	5657	0.010947388533193297
Near-Perfect	1.1	1.7000000000000002	14910	5346	0.010409644291869358
Near-Perfect	1.1	1.8	14150	5074	0.009937112081780552
Near-Perfect	1.1	1.9	13476	4832	0.009519820436806742
Near-Perfect	1.1	2	12876	4617	0.009149773903698921
Near-Perfect	1.2	1	23147	8300	0.01641850714358989
Near-Perfect	1.2	1.1	21006	7532	0.015061615915588716
Near-Perfect	1.2	1.2	19258	6905	0.013934967731498105
Near-Perfect	1.2	1.3	17805	6385	0.012986733925090171
Near-Perfect	1.2	1.4	16579	5945	0.01217963546563941
Near-Perfect	1.2	1.5	15532	5569	0.011486175988218134
Near-Perfect	1.2	1.6	14628	5245	0.010885633996658761
Near-Perfect	1.2	1.7000000000000002	13839	4963	0.010362100741273528
Near-Perfect	1.2	1.8	13147	4714	0.009903162890032513
Near-Perfect	1.2	1.9	12535	4495	0.009498995635628088
Near-Perfect	1.2	2	11990	4299	0.009141724425983433
Near-Perfect	1.3	1	21487	7705	0.016247329680393552
Near-Perfect	1.3	1.1	19519	6999	0.014914420459795047
Near-Perfect	1.3	1.2	17913	6423	0.013808919107510087
Near-Perfect	1.3	1.3	16578	5945	0.012879694278665421
