test_type	multiplier	nns	nnr	bias_closed_form	scenario	subgroup	multiplier_type
Low Sens/High Spec	3.2	13413	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	3.3000000000000003	13266	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	3.4000000000000004	13128	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	3.5	12998	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	3.6	12875	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	3.7	12758	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	3.8000000000000003	12648	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	3.9000000000000004	12543	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	4	12444	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	4.1	12349	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	4.2	12259	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	4.300000000000001	12173	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	4.4	12091	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	4.5	12013	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	4.6	11938	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	4.7	11866	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	4.800000000000001	11797	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	4.9	11731	8565	0	Proportion Multiplier	C	Proportion
Low Sens/High Spec	5	11668	8565	0	Proportion Multiplier	C	Proportion
Near-Perfect	1	24080	8565	0	Event Rate Multiplier	C	Event Rate
Near-Perfect	1.1	22041	7840	0	Event Rate Multiplier	C	Event Rate
Near-Perfect	1.2	20344	7236	0	Event Rate Multiplier	C	Event Rate
Near-Perfect	1.3	18911	6726	0	Event Rate Multiplier	C	Event Rate
Near-Perfect	1.4	17684	6290	0	Event Rate Multiplier	C	Event Rate
Near-Perfect	1.5	16624	5913	0	Event Rate Multiplier	C	Event Rate
Near-Perfect	1.6	15698	5583	0	Event Rate Multiplier	C	Event Rate
Near-Perfect	1.7000000000000002	14882	5294	0	Event Rate Multiplier	C	Event Rate
