test_type	sensitivity	specificity	target_group	event_rate_multiplier	proportion_multiplier	nns_closed_form	nnr_closed_form	true_beta	predicted_beta	bias_closed_form
Perfect (100%)	1	1	C	1.5	1.1	15277	5434	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.5	1.2	14160	5037	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.5	1.3	13219	4702	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.5	1.4	12416	4416	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.5	1.5	11724	4170	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.5	1.6	11122	3956	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.5	1.7000000000000002	10595	3769	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.5	1.8	10130	3603	-0.23572233352106983	-0.2357223335210701	-2.7755575615628914e-16
Perfect (100%)	1	1	C	1.5	1.9	9718	3457	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.5	2	9351	3326	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.6	1	15698	5583	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.6	1.1	14439	5136	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.6	1.2	13395	4764	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.6	1.3	12516	4452	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.6	1.4	11767	4185	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.6	1.5	11122	3956	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.6	1.6	10562	3757	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.6	1.7000000000000002	10073	3583	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.6	1.8	9641	3430	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.6	1.9	9260	3294	-0.23572233352106983	-0.23572233352106955	2.7755575615628914e-16
Perfect (100%)	1	1	C	1.6	2	8921	3173	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.7000000000000002	1	14882	5294	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.7000000000000002	1.1	13701	4873	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.7000000000000002	1.2	12722	4525	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.7000000000000002	1.3	11899	4232	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.7000000000000002	1.4	11198	3983	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.7000000000000002	1.5	10595	3769	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.7000000000000002	1.6	10073	3583	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.7000000000000002	1.7000000000000002	9616	3421	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.7000000000000002	1.8	9215	3278	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.7000000000000002	1.9	8861	3152	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.7000000000000002	2	8547	3040	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.8	1	14160	5037	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.8	1.1	13048	4641	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.8	1.2	12127	4313	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.8	1.3	11353	4038	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.8	1.4	10695	3804	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.8	1.5	10130	3603	-0.23572233352106983	-0.23572233352106955	2.7755575615628914e-16
Perfect (100%)	1	1	C	1.8	1.6	9641	3430	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.8	1.7000000000000002	9215	3278	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.8	1.8	8842	3145	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.8	1.9	8513	3028	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.8	2	8222	2925	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.9	1	13515	4807	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.9	1.1	12465	4434	-0.23572233352106983	-0.23572233352106955	2.7755575615628914e-16
Perfect (100%)	1	1	C	1.9	1.2	11597	4125	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.9	1.3	10868	3866	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.9	1.4	10249	3646	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.9	1.5	9718	3457	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.9	1.6	9260	3294	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.9	1.7000000000000002	8861	3152	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.9	1.8	8513	3028	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.9	1.9	8207	2919	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.9	2	7938	2823	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	2	1	12937	4602	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	2	1.1	11943	4248	-0.23572233352106983	-0.23572233352106955	2.7755575615628914e-16
Perfect (100%)	1	1	C	2	1.2	11122	3956	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	2	1.3	10434	3711	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	2	1.4	9850	3504	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	2	1.5	9351	3326	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	2	1.6	8921	3173	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	2	1.7000000000000002	8547	3040	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	2	1.8	8222	2925	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	2	1.9	7938	2823	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	2	2	7688	2735	-0.23572233352106983	-0.23572233352106983	0
