power_hard	power_soft	mean_enrol_hard	se_enrol_hard	mean_enrol_soft	se_enrol_soft	mean_treat_hard	se_treat_hard	mean_treat_soft	se_treat_soft	mean_ess_hard	se_ess_hard	mean_ess_soft	se_ess_soft	mean_beta_hard	se_beta_hard	mean_beta_soft	se_beta_soft	bias_hard	mse_hard	bias_soft	mse_soft	true_beta	sens_emp	spec_emp	score_version	snr
0.436	0.458	2175.312	3.494148173004376	2175.312	3.494148173004376	1087.822	2.018600040683765	1089.058	2.046397017566976	2175.312	3.494148173004376	2175.312	3.494148173004376	0.26083947027539695	0.006861600529083602	0.2702721693572546	0.006728682992155916	-0.07563276634581594	0.02921401469366025	-0.06620006726395829	0.026974761135407824	0.3364722366212129	0.8999913470505269	0.38895817592722626	binary	1
0.424	0.662	2172.466	3.476471399967153	3284	0	1087.68	2.0866507668619807	1093.858	1.160469323205142	2172.466	3.476471399967153	2189	0	0.2620502705527908	0.006371641190562343	0.3458530967173739	0.006061825581805679	-0.0744219660684221	0.025796936952663455	0.009380860096161025	0.018424119498876394	0.3364722366212129	0.8999878296675038	0.39018801177480145	tertile	1
0.454	0.66	2173.838	3.414046123570643	3284	0	1086.48	1.9816157048235175	1024.736	1.101886071165098	2173.838	3.414046123570643	2052.5	0	0.27968198284618756	0.006483056310108699	0.35763098360370743	0.006155883377472531	-0.056790253775025314	0.02419811246473185	0.021158746982494536	0.019357247752233485	0.3364722366212129	0.8999973105000387	0.3895725774251801	quartile	1
0.468	0.61	2175.814	3.444524976339299	3284	0	1088.556	1.9612860612435035	902.13	1.1267036532489316	2175.814	3.444524976339299	1805	0	0.27900986554761165	0.0064600402402189	0.36176317653045287	0.006705327201048742	-0.057462371073601234	0.02412625192211873	0.025290939909239973	0.023075376665181748	0.3364722366212129	0.9000256239614172	0.3889285184374117	decile	1
0.416	0.456	2176.3	3.6347802209362006	3284	0	1086.022	2.057611859688377	713.214	1.066994546717766	2176.3	3.6347802209362006	1426.809901109931	0.5636738350259872	0.2614106212679892	0.006411126283606879	0.359553743385667	0.006912441594160584	-0.07506161535322373	0.026144413671388436	0.02308150676445409	0.024375898502065514	0.3364722366212129	0.9000346294398074	0.3887513152038997	continuous	1
0.308	0.292	643.492	1.1866879660034118	643.492	1.1866879660034118	320.73	0.8434649169540276	321.698	0.7875519463097481	643.492	1.1866879660034118	643.492	1.1866879660034118	0.3206296393184139	0.00970956355445147	0.32325542761152976	0.009131286744061887	-0.015842597302799025	0.047294524473846855	-0.01321680900968316	0.04178150244393633	0.3364722366212129	0.900027669373077	0.9568639466496828	binary	3
0.368	0.85	641.98	1.2237329138700888	3284	0	321.26	0.8707590036772344	1094.606	1.0901956618709894	641.98	1.2237329138700888	2189	0	0.34735628097012367	0.00958057980789251	0.4357799655688653	0.006223691172553292	0.010884044348910786	0.045920429639632505	0.09930772894765241	0.029190456602587966	0.3364722366212129	0.8999981219829795	0.9571676756198901	tertile	3
0.292	0.876	644.038	1.2564387723950399	3284	0	322.672	0.8072075321749668	1026.764	1.100078612603579	644.038	1.2564387723950399	2052.5	0	0.3226065944193388	0.009448068027272263	0.45808227693389153	0.006649879266714011	-0.013865642201874081	0.04473598476820463	0.12161004031267862	0.03685522814152588	0.3364722366212129	0.9000117820169772	0.9567596871913019	quartile	3
0.362	0.864	642.768	1.2808456124630836	3284	0	320.966	0.8450217817448533	900.87	1.1290845246160515	642.768	1.2808456124630836	1805	0	0.3460457916670293	0.009475373617900818	0.48119290230479517	0.006622864753601714	0.009573555045816409	0.04489322285042189	0.1447206656835823	0.04283137751060464	0.3364722366212129	0.900038705279321	0.9567511032184932	decile	3
0.332	0.868	643.444	1.2574131794313337	3284	0	321.538	0.8440675399658775	527.458	0.9518342549508269	643.444	1.2574131794313337	1053.8885489270403	0.674649100229871	0.3405957310545272	0.009532313625000432	0.6098555638561601	0.007832341273791153	0.004123494433314263	0.04535863972598065	0.27338332723494724	0.10534988295478734	0.3364722366212129	0.9000487460766688	0.956756274434093	continuous	3
