scenario_id	scenario_name	test_type	target_group	sensitivity	specificity	sim_id	true_beta	empirical_beta	p_value	n_enrolled	bias	mse	significant	wrong_direction	significant_wrong
8	ARREST	Near-Perfect	E	0.99	0.99	1	-1.2039728043259361	-0.5014409638476031	0.028826523710719476	5663.1875	0.7025318404783331	0.493550986885874	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	2	-1.2039728043259361	-0.714824068936271	0.002206993734981455	5663.1875	0.4891487353896651	0.23926648533330858	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	3	-1.2039728043259361	-0.5278917758877316	0.02189511219189022	5663.1875	0.6760810284382045	0.4570855570140603	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	4	-1.2039728043259361	-0.4678150627250817	0.035670146374179645	5663.1875	0.7361577416008545	0.5419282205188704	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	5	-1.2039728043259361	-0.8736381261461059	3.5656623572444257e-4	5663.1875	0.3303346781798302	0.10912099960817198	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	6	-1.2039728043259361	-0.5652543015406047	0.014503385714717987	5663.1875	0.6387185027853314	0.40796132580033534	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	7	-1.2039728043259361	-0.753153264613318	9.620445662279486e-4	5663.1875	0.4508195397126181	0.20323825738669687	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	8	-1.2039728043259361	-1.4500709413167068	9.157770541889931e-9	5663.1875	-0.24609813699077066	0.06056429303032812	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	9	-1.2039728043259361	-0.4316010192855872	0.039943572082247525	5663.1875	0.7723717850403489	0.5965581743264149	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	10	-1.2039728043259361	-0.7779805751688559	4.299774291985914e-4	5663.1875	0.42599222915708024	0.18146937930221838	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	11	-1.2039728043259361	-0.7881173286330775	5.706383522348091e-4	5663.1875	0.41585547569285863	0.17293577666373375	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	12	-1.2039728043259361	-0.400772694189467	0.08856718041661471	5663.1875	0.8032001101364692	0.6451304169232362	FALSE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	13	-1.2039728043259361	-0.8048320777902372	6.638512429525401e-4	5663.1875	0.3991407265356989	0.15931331957944556	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	14	-1.2039728043259361	-0.6462141376682267	0.003594213222854137	5663.1875	0.5577586666577095	0.31109473023178585	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	15	-1.2039728043259361	-0.8550291705582617	1.5181514640316696e-4	5663.1875	0.34894363376767445	0.12176165954698892	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	16	-1.2039728043259361	-0.4713537130575248	0.04688092265129362	5663.1875	0.7326190912684113	0.5367307328909527	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	17	-1.2039728043259361	-0.5704201147767526	0.008764805291302302	5663.1875	0.6335526895491835	0.40138901043500413	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	18	-1.2039728043259361	-0.957195354727069	2.2388819886587363e-5	5663.1875	0.24677744959886716	0.06089910963052142	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	19	-1.2039728043259361	-0.6263725030394279	0.005550775639154959	5663.1875	0.5776003012865082	0.333622108046265	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	20	-1.2039728043259361	-0.48168447670389125	0.023698286939826452	5663.1875	0.7222883276220449	0.5217004282190504	TRUE	FALSE	FALSE
8	ARREST	Near-Perfect	E	0.99	0.99	21	-1.2039728043259361	-0.5968115637960403	0.0065110051299334115	5663.1875	0.6071612405298958	0.368644772001802	TRUE	FALSE	FALSE
