scenario_id	scenario_name	test_type	target_group	sensitivity	specificity	sim_id	true_beta	empirical_beta	p_value	n_enrolled	bias	mse	significant	wrong_direction	significant_wrong
13	ARREST	High Sens/Low Spec	B	0.95	0.7	1	2.9338568698359038	0.6030709630200654	0.009016948076732478	992.125	-2.3307859068158385	5.43256294341133	TRUE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	2	2.9338568698359038	0.9949527139193721	1.2185276781706555e-5	992.125	-1.9389041559165316	3.759349325830398	TRUE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	3	2.9338568698359038	0.7742491422897627	6.880203842906107e-4	992.125	-2.159607727546141	4.663905536877007	TRUE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	4	2.9338568698359038	0.23965233750684725	0.3068846116452699	992.125	-2.6942045323290564	7.25873806202243	FALSE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	5	2.9338568698359038	0.5912600014226499	0.006664703781254833	992.125	-2.3425968684132537	5.4877600878995825	TRUE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	6	2.9338568698359038	0.4088993413612273	0.0665187728779566	992.125	-2.5249575284746766	6.375410520600947	FALSE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	7	2.9338568698359038	0.4805786599165972	0.03325970397289546	992.125	-2.4532782099193065	6.018573975264877	TRUE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	8	2.9338568698359038	0.24158142413754566	0.27891559109401487	992.125	-2.692275445698358	7.248347075510293	FALSE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	9	2.9338568698359038	0.5209077051473435	0.023640837285429428	992.125	-2.4129491646885604	5.822323671371221	TRUE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	10	2.9338568698359038	1.1535979435793509	6.978051454220591e-6	992.125	-1.780258926256553	3.169321844516135	TRUE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	11	2.9338568698359038	0.77002780466889	7.58734186030563e-4	992.125	-2.163829065167014	4.682156223261553	TRUE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	12	2.9338568698359038	0.2467429917483254	0.27369547423440566	992.125	-2.6871138780875783	7.220580993810865	FALSE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	13	2.9338568698359038	0.5059938784406337	0.03461021650547613	992.125	-2.42786299139527	5.8945187049867895	TRUE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	14	2.9338568698359038	0.5828346656032102	0.009502289038137879	992.125	-2.3510222042326934	5.527305404795152	TRUE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	15	2.9338568698359038	0.5691942078549546	0.009041933773371591	992.125	-2.364662661980949	5.5916295049668285	TRUE	FALSE	FALSE
13	ARREST	High Sens/Low Spec	B	0.95	0.7	16	2.9338568698359038	0.48393818851780285	0.027902565674554958	992.125	-2.449918681318101	6.002101545071422	TRUE	FALSE	FALSE
