scenario_id	scenario_name	test_type	target_group	sensitivity	specificity	sim_id	true_beta	empirical_beta	p_value	n_enrolled	bias	mse	significant	wrong_direction	significant_wrong
25	Conservative	Perfect (100%)	B	1	1	1	0.6931471805599453	0.5324258845365467	0.06226103217567491	4291.575	-0.16072129602339857	0.025831334995440915	FALSE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	2	0.6931471805599453	0.5433472029734	0.03127529565305687	4291.575	-0.14979997758654529	0.02244003328492947	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	3	0.6931471805599453	0.744859381607151	0.010522749703495093	4291.575	0.05171220104720575	0.0026741517371466276	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	4	0.6931471805599453	0.6614066628852465	0.008612543760066371	4291.575	-0.031740517674698765	0.0010074604622578648	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	5	0.6931471805599453	0.38098637335351765	0.14812673514814034	4291.575	-0.31216080720642764	0.09744436955576849	FALSE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	6	0.6931471805599453	0.4784759813065968	0.08139733200279475	4291.575	-0.2146711992533485	0.04608372378887085	FALSE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	7	0.6931471805599453	0.8349388117176377	0.0026110720469286752	4291.575	0.14179163115769244	0.0201048666663591	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	8	0.6931471805599453	0.3251801689549362	0.22148314861135987	4291.575	-0.3679670116050091	0.1353997216295209	FALSE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	9	0.6931471805599453	0.7961816360475354	0.004152745428531612	4291.575	0.10303445548759016	0.010616099017624198	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	10	0.6931471805599453	0.42572461854608384	0.10196994667520753	4291.575	-0.26742256201386144	0.07151482667405756	FALSE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	11	0.6931471805599453	0.652376880319724	0.017835611523545403	4291.575	-0.040770300240221324	0.001662217381677791	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	12	0.6931471805599453	0.22637466150761054	0.3937381475473585	4291.575	-0.46677251905233474	0.2178765845424622	FALSE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	13	0.6931471805599453	0.6742748475274453	0.011047096721234162	4291.575	-0.01887233303250002	3.5616495408959147e-4	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	14	0.6931471805599453	0.7495107006243528	0.0028932504687473326	4291.575	0.05636352006440748	0.0031768463940508645	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	15	0.6931471805599453	1.1706488399172879	7.489790717740696e-6	4291.575	0.47750165935734257	0.22800783468901561	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	16	0.6931471805599453	0.763867545045906	0.0032177669479190874	4291.575	0.07072036448596075	0.005001369953027138	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	17	0.6931471805599453	0.700987892634677	0.00820424410979892	4291.575	0.007840712074731693	6.147676583884337e-5	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	18	0.6931471805599453	0.9075380821457493	9.163966065545148e-4	4291.575	0.21439090158580398	0.04596345868277389	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	19	0.6931471805599453	0.4308527248619819	0.09040621480291511	4291.575	-0.2622944556979634	0.06879838148989088	FALSE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	20	0.6931471805599453	0.820724181621458	0.0014415209774074622	4291.575	0.1275770010615127	0.016275891199849214	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	21	0.6931471805599453	0.8301237503232465	0.0018249733514561495	4291.575	0.1369765697633012	0.01876258066412052	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	22	0.6931471805599453	0.6570677673761097	0.015744843435614775	4291.575	-0.03607941318383556	0.0013017240556899275	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	23	0.6931471805599453	1.0810132098648455	4.716228777004172e-4	4291.575	0.3878660293049002	0.1504400566887497	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	24	0.6931471805599453	0.8542387009227461	0.0013265549098170348	4291.575	0.16109152036280083	0.025950477932798675	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	25	0.6931471805599453	0.8284126446026369	0.0016773068447676343	4291.575	0.13526546404269157	0.018296745762684686	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	26	0.6931471805599453	0.8716714773896458	8.322464153877052e-4	4291.575	0.1785242968297005	0.031870924558539016	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	27	0.6931471805599453	0.9532659336345523	2.6683769660051926e-4	4291.575	0.26011875307460697	0.06766176570108835	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	28	0.6931471805599453	0.6990479601920291	0.0036775616595732252	4291.575	0.005900779632083797	3.481920026641499e-5	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	29	0.6931471805599453	0.10969749497579356	0.6865707251596118	4291.575	-0.5834496855841518	0.34041353560824555	FALSE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	30	0.6931471805599453	0.17693117032731506	0.4938424723162723	4291.575	-0.5162160102326302	0.26647896922049497	FALSE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	31	0.6931471805599453	0.9973015634281291	3.125408781790018e-5	4291.575	0.30415438286818386	0.09250988861792578	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	32	0.6931471805599453	0.8395921675190129	7.657541374110899e-4	4291.575	0.1464449869590676	0.02144613420544148	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	33	0.6931471805599453	0.46589349243319256	0.07158694569466195	4291.575	-0.22725368812675273	0.051644238767211394	FALSE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	34	0.6931471805599453	0.7155329684780305	0.005963116970531868	4291.575	0.02238578791808521	5.011235007134897e-4	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	35	0.6931471805599453	0.7474728932755933	0.0024124686415094576	4291.575	0.05432571271564801	0.00295128306206312	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	36	0.6931471805599453	1.1016539419205325	7.054184397969898e-5	4291.575	0.40850676136058717	0.16687777407731572	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	37	0.6931471805599453	0.6745980303114603	0.01313093507552432	4291.575	-0.018549150248485025	3.4407097494087204e-4	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	38	0.6931471805599453	0.5233287170190281	0.045073946376245067	4291.575	-0.16981846354091723	0.028838310559397836	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	39	0.6931471805599453	0.6521331470426204	0.009974988337971058	4291.575	-0.04101403351732491	0.0016821509453602511	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	40	0.6931471805599453	1.4676369871385617	4.4878539584569666e-7	4291.575	0.7744898065786164	0.5998344604941827	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	41	0.6931471805599453	0.6682423564650313	0.01350233929573108	4291.575	-0.024904824094914013	6.202502631986096e-4	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	42	0.6931471805599453	0.8897081985650923	0.001099298330237919	4291.575	0.19656101800514703	0.03863623379921973	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	43	0.6931471805599453	0.7217129940440521	0.008473685554262755	4291.575	0.028565813484106806	8.160057000087782e-4	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	44	0.6931471805599453	0.6952654886044761	0.026181653972939145	4291.575	0.0021183080445308367	4.487228971524057e-6	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	45	0.6931471805599453	0.7827770245579381	0.008577147651303685	4291.575	0.08962984399799279	0.008033508935104523	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	46	0.6931471805599453	0.6975824347078811	0.012972457397216641	4291.575	0.004435254147935774	1.967147935678149e-5	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	47	0.6931471805599453	0.6124802070337293	0.008435921460527962	4291.575	-0.08066697352621599	0.006507160617879232	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	48	0.6931471805599453	0.8497677981379353	0.0014075196562322034	4291.575	0.15662061757799006	0.02453001785051101	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	49	0.6931471805599453	0.49236000964486437	0.029387799903958678	4291.575	-0.20078717091508091	0.04031548800408191	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	50	0.6931471805599453	0.7986072114736329	0.005146457735957122	4291.575	0.10546003091368761	0.011121818120315947	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	51	0.6931471805599453	0.7335510426117196	0.004183494297909984	4291.575	0.040403862051774264	0.0016324720686988045	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	52	0.6931471805599453	0.7886352828871162	0.005753880257244881	4291.575	0.09548810232717087	0.009117977686044254	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	53	0.6931471805599453	0.6634497864667329	0.012920380125167608	4291.575	-0.02969739409321237	8.81935215927565e-4	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	54	0.6931471805599453	0.2573848320507316	0.32376755381913547	4291.575	-0.4357623485092137	0.1898888243782654	FALSE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	55	0.6931471805599453	0.452815882186456	0.07328091723484931	4291.575	-0.24033129837348927	0.05775913297788712	FALSE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	56	0.6931471805599453	0.7940177366776503	0.0018037721557644382	4291.575	0.10087055611770501	0.010174869091495077	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	57	0.6931471805599453	0.7223832920976685	0.00613261235267526	4291.575	0.02923611153772321	8.547502178461921e-4	TRUE	FALSE	FALSE
25	Conservative	Perfect (100%)	B	1	1	58	0.6931471805599453	0.2196870807679188	0.41128639184699856	4291.575	-0.4734600997920265	0.2241644660950757	FALSE	FALSE	FALSE
