scenario_id	scenario_name	test_type	target_group	sensitivity	specificity	sim_id	true_beta	empirical_beta	p_value	n_enrolled	bias	mse	significant	wrong_direction	significant_wrong
29	Conservative	Near-Perfect	B	0.99	0.99	1	0.6931471805599453	0.5856762778563068	6.093079966080772e-4	7950.0425	-0.10747090270363846	0.011549994927934924	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	2	0.6931471805599453	0.2344578278080191	0.16777092375845482	7950.0425	-0.4586893527519262	0.21039592232798096	FALSE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	3	0.6931471805599453	0.5613018691035727	0.0010261940331869335	7950.0425	-0.13184531145637257	0.017383186153027887	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	4	0.6931471805599453	0.28206366984945563	0.09864442557289066	7950.0425	-0.41108351071048965	0.16898965277806127	FALSE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	5	0.6931471805599453	0.5620101671707585	0.0017100557622716783	7950.0425	-0.13113701338918682	0.017196916280635764	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	6	0.6931471805599453	0.23973177328483397	0.1448474691330699	7950.0425	-0.4534154072751113	0.20558553155445505	FALSE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	7	0.6931471805599453	0.38613256053354855	0.02323687965598986	7950.0425	-0.30701462002639673	0.09425797690995277	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	8	0.6931471805599453	0.35087191490773234	0.03689803842203254	7950.0425	-0.34227526565221295	0.11715235747729294	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	9	0.6931471805599453	0.5554404525684756	4.843097737364799e-4	7950.0425	-0.13770672799146966	0.018963142934116613	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	10	0.6931471805599453	0.40219906462559574	0.015373460440106013	7950.0425	-0.29094811593434955	0.0846508061657477	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	11	0.6931471805599453	0.4780021300101204	0.004067783941950398	7950.0425	-0.2151450505498249	0.04628739277608672	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	12	0.6931471805599453	0.5069950188312025	0.0024016678299423333	7950.0425	-0.18615216172874283	0.034652627316284025	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	13	0.6931471805599453	0.4992734933755195	0.004079951992948305	7950.0425	-0.19387368718442577	0.037587006582484574	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	14	0.6931471805599453	0.6389421856134193	1.9966565886364585e-4	7950.0425	-0.054204994946525975	0.0029381814771529064	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	15	0.6931471805599453	0.1706752255903308	0.296520135199163	7950.0425	-0.5224719549696145	0.2729769437297709	FALSE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	16	0.6931471805599453	0.8090158410393765	1.3868525783333752e-6	7950.0425	0.11586866047943123	0.013425546481297708	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	17	0.6931471805599453	0.5201040323922277	0.002894204191236427	7950.0425	-0.1730431481677176	0.029943931127794667	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	18	0.6931471805599453	0.5429632547540479	6.478773679287064e-4	7950.0425	-0.15018392580589734	0.02255521157047128	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	19	0.6931471805599453	0.42987909568679417	0.014524237326299372	7950.0425	-0.2632680848731511	0.0693100845127767	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	20	0.6931471805599453	0.28410691410403927	0.0721678566365842	7950.0425	-0.409040266455906	0.1673139395823186	FALSE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	21	0.6931471805599453	0.3301872816986895	0.048515194307274134	7950.0425	-0.3629598988612558	0.13173988818137303	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	22	0.6931471805599453	0.5310353110443936	0.002419117669542392	7950.0425	-0.16211186951555168	0.026280258237827252	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	23	0.6931471805599453	0.5350897705290086	0.0018519593313701677	7950.0425	-0.15805741003093665	0.024982144865687634	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	24	0.6931471805599453	0.513026054334768	8.735785745139779e-4	7950.0425	-0.18012112622517729	0.03244362011262625	TRUE	FALSE	FALSE
29	Conservative	Near-Perfect	B	0.99	0.99	25	0.6931471805599453	0.26952103327073057	0.12743298546751414	7950.0425	-0.4236261472892147	0.17945911266710343	FALSE	FALSE	FALSE
