scenario_id	scenario_name	test_type	target_group	sensitivity	specificity	sim_id	true_beta	empirical_beta	p_value	n_enrolled	bias	mse	significant	wrong_direction	significant_wrong
30	Conservative	Near-Perfect	C	0.99	0.99	1	-0.35667494393873245	-0.3331168502560962	0.007605465336542716	4222.615	0.023558093682636227	5.549837779598649e-4	TRUE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	2	-0.35667494393873245	-0.2133773448170331	0.07674728913997719	4222.615	0.14329759912169934	0.02053420191404325	FALSE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	3	-0.35667494393873245	-0.2918528344461871	0.02062981258044705	4222.615	0.06482210949254535	0.004201905879063539	TRUE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	4	-0.35667494393873245	-0.3510882160071878	0.004053435215015333	4222.615	0.005586727931544633	3.121152898110097e-5	TRUE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	5	-0.35667494393873245	-0.20919304306299175	0.06981479396122492	4222.615	0.1474819008757407	0.021750911085921806	FALSE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	6	-0.35667494393873245	-0.6619885335342813	1.1083551121338076e-7	4222.615	-0.3053135895955489	0.09321638799171926	TRUE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	7	-0.35667494393873245	-0.6912565175861387	4.946779297299031e-8	4222.615	-0.33458157364740626	0.11194482942437474	TRUE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	8	-0.35667494393873245	-0.43887044386140306	4.443269146874318e-4	4222.615	-0.08219549992267061	0.006756100207537745	TRUE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	9	-0.35667494393873245	-0.3439322129718986	0.00487435899096289	4222.615	0.01274273096683387	1.6237719249310688e-4	TRUE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	10	-0.35667494393873245	-0.5166811652603993	1.643563222131217e-5	4222.615	-0.16000622132166686	0.025601990861638238	TRUE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	11	-0.35667494393873245	-0.30882553152755077	0.009532293810854298	4222.615	0.04784941241118168	0.0022895662680953474	TRUE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	12	-0.35667494393873245	-0.46352280258413425	2.1766065598061157e-4	4222.615	-0.1068478586454018	0.011416464897107766	TRUE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	13	-0.35667494393873245	-0.3378529985979329	0.00474612729339452	4222.615	0.018821945340799562	3.5426562641204635e-4	TRUE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	14	-0.35667494393873245	-0.27560169351718167	0.028619431823943664	4222.615	0.08107325042155078	0.006572871933915484	TRUE	FALSE	FALSE
30	Conservative	Near-Perfect	C	0.99	0.99	15	-0.35667494393873245	-0.2128358115210065	0.06672039532957086	4222.615	0.14383913241772595	0.020689696014684098	FALSE	FALSE	FALSE
